player_name,team,had_history_before,rows_added,source,league_used,athlete_id,resolution_status
Caitlin Clark,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Janelle Salaün,GSV,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Gabby Williams,GSV,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Veronica Burton,GSV,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Aliyah Boston,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Kayla Thornton,GSV,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Chelsea Gray,LVA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Arike Ogunbowale,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Paige Bueckers,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Jackie Young,LVA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Jessica Shepard,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Chennedy Carter,LVA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
NaLyssa Smith,LVA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Jewell Loyd,LVA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
A'ja Wilson,LVA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Azzi Fudd,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Kelsey Mitchell,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Maddy Siegrist,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
