player_name,team,had_history_before,rows_added,source,league_used,athlete_id,resolution_status
Allisha Gray + Angel Reese,ATL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Allisha Gray + Rhyne Howard,ATL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Jordin Canada + Rhyne Howard,ATL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Rhyne Howard + Allisha Gray,ATL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Rhyne Howard + Angel Reese,ATL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Skylar Diggins + Kamilla Cardoso,CHI,False,0,api:espn:wnba:gamelog,none,,no_history_found
Dearica Hamby + Nneka Ogwumike,LAS,False,0,api:espn:wnba:gamelog,none,,no_history_found
Courtney Williams + Olivia Miles,MIN,False,0,api:espn:wnba:gamelog,none,,no_history_found
Breanna Stewart + Jonquel Jones,NYL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Alyssa Thomas + Natasha Mack,PHX,False,0,api:espn:wnba:gamelog,none,,no_history_found
Jovana Nogic,PHX,False,0,api:espn:wnba:gamelog,none,3906769,no_history_found
Kahleah Copper + Alyssa Thomas,PHX,False,0,api:espn:wnba:gamelog,none,,no_history_found
Carla Leite + Bridget Carleton,POR,False,0,api:espn:wnba:gamelog,none,,no_history_found
Shakira Austin + Kiki Iriafen,WAS,False,0,api:espn:wnba:gamelog,none,,no_history_found
Sonia Citron + Kiki Iriafen,WAS,False,0,api:espn:wnba:gamelog,none,,no_history_found
Sonia Citron + Shakira Austin,WAS,False,0,api:espn:wnba:gamelog,none,,no_history_found
