game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source,game_id,player_id,position,starter,played,source
2024-07-07,2024,A'ja Wilson,LVA,DAL,A,31.0,28.0,10.0,2.0,3.0,1.0,2.0,2.0,22.0,11.0,4.0,3.0,3.0,7.0,,a'ja wilson,0,last_good_canonical,401620341.0,3149391.0,C,1.0,1.0,espn
2024-07-10,2024,A'ja Wilson,LVA,SEA,A,35.0,24.0,20.0,2.0,0.0,3.0,4.0,0.0,18.0,7.0,10.0,10.0,2.0,18.0,,a'ja wilson,0,last_good_canonical,401620348.0,3149391.0,C,1.0,1.0,espn
2024-07-12,2024,A'ja Wilson,LVA,ATL,A,37.0,33.0,18.0,1.0,3.0,3.0,5.0,0.0,23.0,13.0,4.0,4.0,2.0,16.0,,a'ja wilson,0,last_good_canonical,401620351.0,3149391.0,C,1.0,1.0,espn
2024-07-14,2024,A'ja Wilson,LVA,WAS,A,36.0,28.0,17.0,1.0,0.0,0.0,2.0,2.0,19.0,12.0,4.0,4.0,4.0,13.0,,a'ja wilson,0,last_good_canonical,401620357.0,3149391.0,C,1.0,1.0,espn
2024-07-17,2024,A'ja Wilson,LVA,CHI,A,37.0,28.0,14.0,0.0,1.0,3.0,5.0,2.0,21.0,9.0,10.0,9.0,3.0,11.0,,a'ja wilson,0,last_good_canonical,401620363.0,3149391.0,C,1.0,1.0,espn
2024-08-17,2024,A'ja Wilson,LVA,NYL,A,36.0,24.0,11.0,0.0,1.0,3.0,3.0,0.0,15.0,8.0,8.0,7.0,0.0,11.0,,a'ja wilson,0,last_good_canonical,401620373.0,3149391.0,C,1.0,1.0,espn
2024-08-18,2024,A'ja Wilson,LVA,LAS,A,34.0,34.0,13.0,0.0,0.0,5.0,2.0,1.0,20.0,12.0,11.0,10.0,1.0,12.0,,a'ja wilson,0,last_good_canonical,401620376.0,3149391.0,C,1.0,1.0,espn
2024-08-22,2024,A'ja Wilson,LVA,MIN,A,33.0,15.0,9.0,6.0,0.0,2.0,0.0,0.0,14.0,7.0,2.0,1.0,5.0,4.0,,a'ja wilson,0,last_good_canonical,401620383.0,3149391.0,C,1.0,1.0,espn
2024-08-24,2024,A'ja Wilson,LVA,MIN,A,33.0,24.0,7.0,3.0,0.0,0.0,0.0,3.0,17.0,8.0,9.0,8.0,0.0,7.0,,a'ja wilson,0,last_good_canonical,401620388.0,3149391.0,C,1.0,1.0,espn
2024-08-25,2024,A'ja Wilson,LVA,CHI,A,33.0,20.0,18.0,2.0,0.0,2.0,3.0,0.0,28.0,8.0,5.0,4.0,6.0,12.0,,a'ja wilson,0,last_good_canonical,401620391.0,3149391.0,C,1.0,1.0,espn
