player_name,team,had_history_before,rows_added,source,league_used,athlete_id,resolution_status
Arike Ogunbowale + Azzi Fudd,DAL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Arike Ogunbowale + Jessica Shepard,DAL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Azzi Fudd + Jessica Shepard,DAL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Paige Bueckers + Arike Ogunbowale,DAL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Paige Bueckers + Azzi Fudd,DAL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Paige Bueckers + Jessica Shepard,DAL,False,0,api:espn:wnba:gamelog,none,,no_history_found
Natasha Howard + Courtney Williams,MIN,False,0,api:espn:wnba:gamelog,none,,no_history_found
Natasha Howard + Nia Coffey,MIN,False,0,api:espn:wnba:gamelog,none,,no_history_found
Olivia Miles + Courtney Williams,MIN,False,0,api:espn:wnba:gamelog,none,,no_history_found
Alyssa Thomas + Natasha Mack,PHX,False,0,api:espn:wnba:gamelog,none,,no_history_found
Jovana Nogic,PHX,False,0,api:espn:wnba:gamelog,none,3906769,no_history_found
Kahleah Copper + Alyssa Thomas,PHX,False,0,api:espn:wnba:gamelog,none,,no_history_found
Kahleah Copper + Jovana Nogic,PHX,False,0,api:espn:wnba:gamelog,none,,no_history_found
Kahleah Copper + Natasha Mack,PHX,False,0,api:espn:wnba:gamelog,none,,no_history_found
Awa Fam,SEA,False,0,api:espn:wnba:gamelog,womens-college-basketball,5345325,api_error
Flau'jae Johnson + Awa Fam,SEA,False,0,api:espn:wnba:gamelog,none,,no_history_found
