player_name,team,had_history_before,rows_added,source,league_used,athlete_id,resolution_status
Flau'jae Johnson,SEA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Kelsey Mitchell,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Kayla Thornton,GSV,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Gabby Williams,GSV,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Janelle Salaün,GSV,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Natisha Hiedeman,SEA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Aneesah Morrow,CON,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Brittney Griner,CON,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Jade Melbourne,SEA,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Monique Billings,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Lexie Hull,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Sophie Cunningham,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Aliyah Boston,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Veronica Burton,GSV,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Caitlin Clark,IND,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Arike Ogunbowale,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Rhyne Howard,ATL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Allisha Gray,ATL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Jordin Canada,ATL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Jessica Shepard,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Paige Bueckers,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Naz Hillmon,ATL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Angel Reese,ATL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Alanna Smith,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
Azzi Fudd,DAL,True,0,api:espn:wnba:gamelog,existing_history,,already_present
