game_date,team,opponent,pace,off_rating,def_rating,team_points,opp_points,team_rebounds,team_assists,team_threes_made,_data_source,season,game_id,team_steals,team_blocks,source
2024-08-29,ATL,SEA,83.1,96.10821072615092,103.759765625,81.0,85.0,36.0,23.0,6.0,last_good_canonical,2024.0,401620401.0,5.0,5.0,espn
2024-08-31,ATL,LVA,74.38,95.08716323296356,113.63636363636364,72.0,83.0,41.0,16.0,11.0,last_good_canonical,2024.0,401620404.0,4.0,3.0,espn
2024-09-01,ATL,LAS,71.82,111.54489682097044,86.20689655172414,80.0,62.0,42.0,22.0,7.0,last_good_canonical,2024.0,401620410.0,4.0,3.0,espn
2024-09-04,ATL,PHX,78.3,82.33532934131736,96.8079539508111,66.0,74.0,29.0,15.0,7.0,last_good_canonical,2024.0,401620415.0,7.0,4.0,espn
2024-09-06,ATL,DAL,87.88,122.875516766192,108.25439783491204,107.0,96.0,37.0,24.0,8.0,last_good_canonical,2024.0,401620419.0,7.0,3.0,espn
2024-09-08,ATL,IND,91.96,105.35187526337968,116.85393258426966,100.0,104.0,38.0,19.0,9.0,last_good_canonical,2024.0,401620425.0,8.0,5.0,espn
2024-09-10,ATL,MIN,76.16,81.6743236345074,102.75824770146026,64.0,76.0,37.0,12.0,5.0,last_good_canonical,2024.0,401620429.0,8.0,3.0,espn
2024-09-13,ATL,WAS,78.3,85.18518518518519,95.23809523809524,69.0,72.0,41.0,14.0,5.0,last_good_canonical,2024.0,401620436.0,12.0,3.0,espn
2024-09-15,ATL,WAS,83.62,89.41176470588235,88.76459143968872,76.0,73.0,35.0,16.0,4.0,last_good_canonical,2024.0,401620443.0,13.0,1.0,espn
2024-09-17,ATL,CHI,75.12,114.36170212765956,93.28358208955224,86.0,70.0,35.0,19.0,5.0,last_good_canonical,2024.0,401620449.0,9.0,4.0,espn
2024-09-19,ATL,NYL,74.76,105.34846029173418,88.76523582405935,78.0,67.0,35.0,22.0,5.0,last_good_canonical,2024.0,401620453.0,8.0,2.0,espn
2024-09-22,ATL,NYL,81.64,85.8636137381782,100.0964785335263,69.0,83.0,36.0,16.0,3.0,last_good_canonical,2024.0,401721255.0,9.0,5.0,espn
2024-09-24,ATL,NYL,73.56,113.95219566425791,121.07503991484832,82.0,91.0,30.0,22.0,7.0,last_good_canonical,2024.0,401721258.0,3.0,4.0,espn
2025-05-07,ATL,WAS,78.44,103.51966873706004,87.93969849246231,80.0,70.0,33.0,19.0,12.0,last_good_canonical,2025.0,401761344.0,10.0,6.0,espn
2025-05-10,ATL,IND,82.53999999999999,93.41199606686332,96.75107501194458,76.0,81.0,32.0,20.0,12.0,last_good_canonical,2025.0,401761345.0,7.0,8.0,espn
2025-05-16,ATL,WAS,80.75999999999999,106.03204524033931,122.65135699373695,90.0,94.0,37.0,24.0,12.0,last_good_canonical,2025.0,401736112.0,4.0,2.0,espn
2025-05-20,ATL,IND,83.25999999999999,112.23482979773064,105.3370786516854,91.0,90.0,37.0,19.0,8.0,last_good_canonical,2025.0,401736122.0,7.0,5.0,espn
2025-05-22,ATL,IND,84.86,91.43407122232917,93.53348729792148,76.0,81.0,37.0,14.0,10.0,last_good_canonical,2025.0,401736126.0,4.0,3.0,espn
2025-05-24,ATL,DAL,82.19999999999999,104.74507824331148,88.06951620479099,83.0,75.0,42.0,23.0,9.0,last_good_canonical,2025.0,401736133.0,6.0,7.0,espn
2025-05-25,ATL,CON,77.66,99.7978777160182,72.21638655462185,79.0,55.0,52.0,20.0,10.0,last_good_canonical,2025.0,401736134.0,4.0,5.0,espn
2025-05-28,ATL,LAS,80.98,106.6925315227934,103.17060895822848,88.0,82.0,32.0,26.0,11.0,last_good_canonical,2025.0,401736141.0,9.0,6.0,espn
2025-05-31,ATL,SEA,83.46000000000001,111.74512601046123,105.07246376811597,94.0,87.0,35.0,18.0,9.0,last_good_canonical,2025.0,401736150.0,5.0,7.0,espn
2025-06-06,ATL,CON,80.42,94.43339960238568,104.52961672473867,76.0,84.0,29.0,19.0,8.0,last_good_canonical,2025.0,401736161.0,5.0,6.0,espn
2025-06-10,ATL,IND,73.25999999999999,103.21715817694373,80.64516129032258,77.0,58.0,44.0,21.0,5.0,last_good_canonical,2025.0,401736169.0,7.0,4.0,espn
2025-06-13,ATL,CHI,77.03999999999999,113.57769747031492,91.38381201044388,88.0,70.0,39.0,21.0,12.0,last_good_canonical,2025.0,401736174.0,5.0,6.0,espn
2025-06-15,ATL,WAS,75.42,119.11134903640256,73.56805044666316,89.0,56.0,41.0,24.0,18.0,last_good_canonical,2025.0,401736180.0,8.0,2.0,espn
