date,market,player_name,line,play,edge,confidence_score,confidence,STAT,matchup_pitcher,opponent,hit_prob,tb2_prob,hr_prob,rbi_prob,projected_value,predicted_strikeouts,projected_hitter_strikeouts,actual_stat,result,graded
2026-04-30,HITTER_K,Jahmai Jones,0.5,OVER,1.01,6.0,Low,K,JR Ritchie,,,,,,,,1.51,,,
2026-04-30,HITTER_K,Matt Vierling,0.5,OVER,0.95,5.8,Low,K,JR Ritchie,,,,,,,,1.45,,,
2026-04-30,HITTER_K,Luke Keaschall,0.5,OVER,0.86,5.4,Low,K,George Kirby,,,,,,,,1.36,,,
2026-04-30,HITTER_HIT,Michael Conforto,0.5,OVER,0.15700000000000003,4.6,Low,HIT,Matt Waldron,,65.7,40.6,1.1,32.6,0.657,,,,,
2026-04-30,HITTER_HIT,Zack Gelof,0.5,OVER,0.10299999999999998,3.6,Low,HIT,Michael Wacha,,60.3,35.4,1.4,27.5,0.603,,,,,
2026-04-30,HITTER_HIT,Evan Carter,0.5,OVER,0.08099999999999996,3.1,Low,HIT,Elmer Rodríguez,,58.1,33.4,0.9,27.9,0.581,,,,,
