Pitcher,Pitcher_ID,Team,Opponent,Pitcher_K_Pct,Pitcher_BB_Pct,K_per_9,Estimated_IP,Projected_Outs,Opponent_K_Pct,Opponent_wOBA,Opponent_OPS,Park_Factor,Pitcher_Putaway_Pct,Pitcher_Fastball_Pct,Pitcher_Breaking_Pct,Pitcher_Offspeed_Pct,Pitcher_Avg_Velo,Starter_Role_Score,Data_Quality,Data_Source,Raw_Strikeouts,Projected_Strikeouts,Source,season_k_pct,season_bb_pct,k_pct_last_30d,bb_pct_last_30d,swstr_pct_last_30d,csw_pct_last_30d,season_ip_per_start,ip_last_3_starts_avg,pitches_last_3_starts_avg,days_rest,opponent_k_pct,opponent_woba,opponent_ops,home_flag,park_factor,implied_pitch_count,Sim_Mean_Strikeouts,Sim_Median_Strikeouts,Sim_Std_Strikeouts,Sim_P10_Strikeouts,Sim_P25_Strikeouts,Sim_P75_Strikeouts,Sim_P90_Strikeouts,Sim_Mean_Outs,Sim_Median_Outs,Sim_Std_Outs,Sim_P10_Outs,Sim_P25_Outs,Sim_P75_Outs,Sim_P90_Outs,Sim_Estimated_IP,MonteCarlo_Shape,Sim_Prob_Over_4_5,Sim_Prob_Over_5_5,Sim_Prob_Over_6_5,Sim_Prob_Over_7_5,Sim_Prob_Over_8_5,Sim_Prob_Over_Outs_14_5,Sim_Prob_Over_Outs_15_5,Sim_Prob_Over_Outs_17_5,Sim_Prob_Over_Outs_18_5,Seq_Sim_Mean_Strikeouts,Seq_Sim_Median_Strikeouts,Seq_Sim_Std_Strikeouts,Seq_Sim_P10_Strikeouts,Seq_Sim_P25_Strikeouts,Seq_Sim_P75_Strikeouts,Seq_Sim_P90_Strikeouts,Seq_Sim_Mean_Outs,Seq_Sim_Median_Outs,Seq_Sim_Std_Outs,Seq_Sim_P10_Outs,Seq_Sim_P25_Outs,Seq_Sim_P75_Outs,Seq_Sim_P90_Outs,Seq_Sim_Prob_Over_4_5,Seq_Sim_Prob_Over_5_5,Seq_Sim_Prob_Over_6_5,Seq_Sim_Prob_Over_7_5,Seq_Sim_Prob_Over_8_5,Seq_Sim_Estimated_IP,Seq_Sim_Prob_Over_Outs_14_5,Seq_Sim_Prob_Over_Outs_15_5,Seq_Sim_Prob_Over_Outs_17_5,Seq_Sim_Prob_Over_Outs_18_5,Simulation_Based_Outs,Simulation_Based_IP,Volume_Based_Strikeouts,Simulation_Based_Strikeouts,Model_Projected_Strikeouts,Model_Projected_Outs,Projected_IP
Bubba Chandler,696149,Pittsburgh Pirates,St. Louis Cardinals,23.9,6.3,8.76,5.31,15.03,21.7,0.357,0.706,98.0,27.0,48.0,32.0,20.0,92.8,0.751,unknown,unknown,4.77,4.43,blended_2025_2026,0.239153,0.06345,0.239153,0.06345,0.11,0.28,5.31,5.1931,84.0,5.25,0.216879,0.356823,0.706359,1.0,98.0,84.050822,3.46,3.0,2.86,1.0,2.0,5.0,6.0,14.93,15.0,2.19,12.0,14.0,16.0,17.0,4.98,7.4854,0.2587,0.1191,0.0415,0.0151,0.0034,0.4218,0.2535,0.057,0.022,3.46,3.0,1.69,1.0,2.0,5.0,6.0,14.93,15.0,1.95,12.0,14.0,16.0,17.0,0.2587,0.1191,0.0415,0.0151,0.0034,4.98,0.6335,0.473,0.083,0.0,15.03,5.01,4.05,4.07,4.66,15.93,5.01
Yusei Kikuchi,579328,Los Angeles Angels,Chicago White Sox,22.7,9.7,8.98,4.72,14.1,25.1,0.35,0.693,98.0,27.0,48.0,32.0,20.0,92.8,0.858,unknown,unknown,4.43,4.34,blended_2025_2026,0.22714,0.096539,0.231542,0.098974,0.11,0.28,4.7215,4.6543,75.169,5.0,0.250847,0.350017,0.692744,0.0,98.0,82.0,3.72,4.0,2.69,2.0,2.0,5.0,6.0,14.09,15.0,2.13,11.0,13.0,15.0,16.0,4.7,6.7413,0.3074,0.1527,0.0651,0.0227,0.006,0.1976,0.0915,0.0116,0.0028,3.72,4.0,1.75,2.0,2.0,5.0,6.0,14.09,15.0,1.91,11.0,13.0,15.0,16.0,0.3074,0.1527,0.0651,0.0227,0.006,4.7,0.5011,0.198,0.0,0.0,14.1,4.7,3.98,4.05,4.15,14.16,4.7
Jameson Taillon,592791,Chicago Cubs,San Diego Padres,20.0,6.6,7.24,5.74,17.51,21.4,0.355,0.702,98.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,4.41,4.16,blended_2025_2026,0.199687,0.066085,0.199687,0.066085,0.11,0.28,5.736,5.8914,92.391,5.0,0.213918,0.354698,0.701911,0.0,98.0,92.011176,4.03,4.0,2.83,2.0,3.0,5.0,6.0,17.54,18.0,2.27,14.0,16.0,19.0,20.0,5.85,7.8914,0.3799,0.2071,0.0971,0.036,0.0115,0.7987,0.6529,0.31,0.1738,4.03,4.0,1.83,2.0,3.0,5.0,6.0,17.54,18.0,2.17,14.0,16.0,19.0,20.0,0.3799,0.2071,0.0971,0.036,0.0115,5.85,0.8971,0.8181,0.5813,0.4364,17.51,5.84,4.14,3.93,4.02,17.21,5.84
Erick Fedde,607200,Chicago White Sox,Los Angeles Angels,14.4,9.9,5.52,6.8,19.54,25.7,0.358,0.708,98.0,27.0,48.0,32.0,20.0,92.8,0.581,unknown,unknown,4.38,4.16,blended_2025_2026,0.14406,0.098635,0.14406,0.098635,0.11,0.28,6.8025,5.6517,88.909,5.0,0.256969,0.358004,0.707558,1.0,98.0,104.537317,4.12,4.0,2.43,2.0,3.0,5.0,7.0,19.45,20.0,2.81,16.0,18.0,21.0,23.0,6.48,10.0483,0.3994,0.2243,0.103,0.0403,0.0154,0.8833,0.795,0.5453,0.4028,4.12,4.0,1.85,2.0,3.0,5.0,7.0,19.45,20.0,2.47,16.0,18.0,21.0,23.0,0.3994,0.2243,0.103,0.0403,0.0154,6.48,0.9615,0.923,0.7904,0.6804,19.54,6.52,3.8,3.7,3.57,20.41,6.51
Eric Lauer,641778,Toronto Blue Jays,Boston Red Sox,22.1,7.2,8.25,5.8,16.18,21.9,0.357,0.707,101.0,27.0,48.0,32.0,20.0,92.8,0.675,unknown,unknown,4.29,4.16,blended_2025_2026,0.220561,0.072414,0.206539,0.075186,0.11,0.28,5.7978,5.5157,88.503,5.5,0.219227,0.357335,0.706928,1.0,101.0,90.577696,3.32,3.0,2.82,1.0,2.0,4.0,6.0,16.05,16.0,2.29,13.0,14.0,18.0,19.0,5.35,8.3566,0.238,0.1062,0.0409,0.0123,0.0034,0.6461,0.4785,0.1759,0.0848,3.32,3.0,1.71,1.0,2.0,4.0,6.0,16.05,16.0,2.4,13.0,14.0,18.0,19.0,0.238,0.1062,0.0409,0.0123,0.0034,5.35,0.7371,0.6076,0.3084,0.1519,16.18,5.4,3.8,3.78,4.27,17.39,5.39
Sandy Alcantara,645261,Miami Marlins,Los Angeles Dodgers,18.0,7.7,6.82,6.42,19.59,20.7,0.379,0.749,102.0,27.0,48.0,32.0,20.0,92.8,0.858,unknown,unknown,4.53,4.16,blended_2025_2026,0.18011,0.076933,0.178059,0.076815,0.11,0.28,6.4236,5.6571,99.145,5.0,0.206584,0.379218,0.748869,0.0,102.0,103.527459,3.86,4.0,2.71,2.0,3.0,5.0,6.0,19.63,20.0,2.7,17.0,19.0,21.0,22.0,6.54,9.3305,0.3406,0.1771,0.0809,0.026,0.0089,0.9325,0.8661,0.6424,0.4934,3.86,4.0,1.8,2.0,3.0,5.0,6.0,19.63,20.0,1.89,17.0,19.0,21.0,22.0,0.3406,0.1771,0.0809,0.026,0.0089,6.54,0.983,0.9611,0.8674,0.7817,19.59,6.53,4.03,3.7,3.93,19.27,6.53
Luis Severino,622663,Athletics,Kansas City Royals,19.0,9.2,7.44,5.34,16.46,21.5,0.358,0.707,103.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,4.54,4.16,blended_2025_2026,0.190309,0.091513,0.190309,0.091513,0.11,0.28,5.3381,5.8827,94.125,5.25,0.215218,0.357716,0.707323,1.0,103.0,85.628462,3.82,4.0,2.74,2.0,3.0,5.0,6.0,16.51,17.0,2.4,13.0,15.0,18.0,19.0,5.5,6.6064,0.3324,0.1754,0.0772,0.026,0.0065,0.6155,0.4442,0.1663,0.0818,3.82,4.0,1.79,2.0,3.0,5.0,6.0,16.51,17.0,2.13,13.0,15.0,18.0,19.0,0.3324,0.1754,0.0772,0.026,0.0065,5.5,0.8196,0.7069,0.4314,0.1684,16.46,5.49,3.87,3.63,3.7,16.01,5.49
Brandon Sproat,687075,Milwaukee Brewers,Arizona Diamondbacks,20.5,10.2,7.63,6.33,17.6,19.7,0.37,0.731,101.0,27.0,48.0,32.0,20.0,92.8,0.501,unknown,unknown,4.83,4.16,blended_2025_2026,0.205232,0.102061,0.205232,0.102061,0.11,0.28,6.3339,5.0501,79.066,5.7,0.197308,0.370137,0.730566,1.0,101.0,95.974831,3.45,3.0,2.68,1.0,2.0,5.0,6.0,17.45,18.0,2.72,14.0,16.0,20.0,21.0,5.82,8.9228,0.26,0.1231,0.0494,0.0173,0.005,0.6601,0.5186,0.2477,0.1424,3.45,3.0,1.75,1.0,2.0,5.0,6.0,17.45,18.0,2.65,14.0,16.0,20.0,21.0,0.26,0.1231,0.0494,0.0173,0.005,5.82,0.8502,0.7632,0.5245,0.3926,17.6,5.87,3.83,3.71,4.22,19.0,5.87
JR Ritchie,702275,Atlanta Braves,Detroit Tigers,29.0,9.7,10.12,3.78,12.45,21.4,0.368,0.727,102.0,27.0,48.0,32.0,20.0,92.8,0.547,unknown,unknown,3.78,3.82,current_2026,0.290323,0.096774,0.290323,0.096774,0.11,0.28,3.776,4.0,56.5,6.0,0.214336,0.367614,0.726773,1.0,102.0,57.685574,2.88,3.0,2.35,1.0,2.0,4.0,5.0,12.57,13.0,1.71,9.0,11.0,14.0,16.0,4.19,3.856,0.1531,0.0585,0.0151,0.004,0.0011,0.0,0.0,0.0,0.0,2.88,3.0,1.57,1.0,2.0,4.0,5.0,12.57,13.0,2.44,9.0,11.0,14.0,16.0,0.1531,0.0585,0.0151,0.004,0.0011,4.19,0.239,0.1383,0.0,0.0,12.45,4.15,3.55,3.57,3.56,11.33,4.15
David Peterson,656849,New York Mets,Washington Nationals,20.5,8.8,8.12,5.4,14.68,22.4,0.356,0.704,99.0,27.0,48.0,32.0,20.0,92.8,0.656,unknown,unknown,4.54,3.82,blended_2025_2026,0.20522,0.088419,0.209847,0.088654,0.11,0.28,5.3994,4.2535,73.188,5.25,0.22444,0.356106,0.704195,1.0,99.0,84.071493,3.23,3.0,2.37,1.0,2.0,4.0,5.0,14.51,15.0,2.24,11.0,13.0,16.0,17.0,4.84,7.0115,0.2146,0.0949,0.0356,0.0123,0.002,0.0845,0.0354,0.0,0.0,3.23,3.0,1.68,1.0,2.0,4.0,5.0,14.51,15.0,2.3,11.0,13.0,16.0,17.0,0.2146,0.0949,0.0356,0.0123,0.002,4.84,0.518,0.3523,0.0906,0.0375,14.68,4.89,3.49,3.51,3.92,16.2,4.89
