Pitcher,Pitcher_ID,Team,Opponent,Pitcher_K_Pct,Pitcher_BB_Pct,K_per_9,Estimated_IP,Projected_Outs,Opponent_K_Pct,Opponent_wOBA,Opponent_OPS,Park_Factor,Pitcher_Putaway_Pct,Pitcher_Fastball_Pct,Pitcher_Breaking_Pct,Pitcher_Offspeed_Pct,Pitcher_Avg_Velo,Starter_Role_Score,Data_Quality,Data_Source,Raw_Strikeouts,Projected_Strikeouts,Source,season_k_pct,season_bb_pct,k_pct_last_30d,bb_pct_last_30d,swstr_pct_last_30d,csw_pct_last_30d,season_ip_per_start,ip_last_3_starts_avg,pitches_last_3_starts_avg,days_rest,opponent_k_pct,opponent_woba,opponent_ops,home_flag,park_factor,implied_pitch_count,Sim_Mean_Strikeouts,Sim_Median_Strikeouts,Sim_Std_Strikeouts,Sim_P10_Strikeouts,Sim_P25_Strikeouts,Sim_P75_Strikeouts,Sim_P90_Strikeouts,Sim_Mean_Outs,Sim_Median_Outs,Sim_Std_Outs,Sim_P10_Outs,Sim_P25_Outs,Sim_P75_Outs,Sim_P90_Outs,Sim_Estimated_IP,MonteCarlo_Shape,Sim_Prob_Over_4_5,Sim_Prob_Over_5_5,Sim_Prob_Over_6_5,Sim_Prob_Over_7_5,Sim_Prob_Over_8_5,Sim_Prob_Over_Outs_14_5,Sim_Prob_Over_Outs_15_5,Sim_Prob_Over_Outs_17_5,Sim_Prob_Over_Outs_18_5,Seq_Sim_Mean_Strikeouts,Seq_Sim_Median_Strikeouts,Seq_Sim_Std_Strikeouts,Seq_Sim_P10_Strikeouts,Seq_Sim_P25_Strikeouts,Seq_Sim_P75_Strikeouts,Seq_Sim_P90_Strikeouts,Seq_Sim_Mean_Outs,Seq_Sim_Median_Outs,Seq_Sim_Std_Outs,Seq_Sim_P10_Outs,Seq_Sim_P25_Outs,Seq_Sim_P75_Outs,Seq_Sim_P90_Outs,Seq_Sim_Prob_Over_4_5,Seq_Sim_Prob_Over_5_5,Seq_Sim_Prob_Over_6_5,Seq_Sim_Prob_Over_7_5,Seq_Sim_Prob_Over_8_5,Seq_Sim_Estimated_IP,Seq_Sim_Prob_Over_Outs_14_5,Seq_Sim_Prob_Over_Outs_15_5,Seq_Sim_Prob_Over_Outs_17_5,Seq_Sim_Prob_Over_Outs_18_5,Simulation_Based_Outs,Simulation_Based_IP,Volume_Based_Strikeouts,Simulation_Based_Strikeouts,Model_Projected_Strikeouts,Model_Projected_Outs,Projected_IP
Eduardo Rodriguez,593958,Arizona Diamondbacks,Milwaukee Brewers,19.2,9.0,7.7,5.52,16.59,21.2,0.359,0.712,101.0,27.0,48.0,32.0,20.0,92.8,0.802,unknown,unknown,4.0,3.82,blended_2025_2026,0.192039,0.089841,0.192039,0.089841,0.11,0.28,5.5166,5.3297,94.614,5.5,0.211807,0.359189,0.711706,0.0,101.0,88.073981,3.41,3.0,2.61,1.0,2.0,4.0,6.0,16.59,17.0,2.25,14.0,15.0,18.0,19.0,5.53,6.9992,0.249,0.1161,0.0416,0.015,0.0041,0.6052,0.4281,0.1394,0.0612,3.41,3.0,1.71,1.0,2.0,4.0,6.0,16.59,17.0,2.1,14.0,15.0,18.0,19.0,0.249,0.1161,0.0416,0.015,0.0041,5.53,0.8267,0.7199,0.4415,0.1845,16.59,5.53,3.54,3.27,3.45,16.55,5.53
Drew Rasmussen,656876,Tampa Bay Rays,Cleveland Guardians,22.8,5.8,8.06,5.03,15.36,20.0,0.348,0.689,99.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,4.2,3.82,blended_2025_2026,0.228394,0.057682,0.23635,0.059691,0.11,0.28,5.0294,4.874,82.257,5.0,0.200033,0.348345,0.689144,0.0,99.0,82.0,3.07,3.0,2.72,1.0,2.0,4.0,5.0,15.39,16.0,2.21,12.0,14.0,17.0,18.0,5.13,6.346,0.1795,0.0744,0.0248,0.007,0.001,0.3102,0.1711,0.0309,0.0099,3.07,3.0,1.6,1.0,2.0,4.0,5.0,15.39,16.0,2.08,12.0,14.0,17.0,18.0,0.1795,0.0744,0.0248,0.007,0.001,5.13,0.6899,0.5466,0.136,0.0,15.36,5.12,3.66,3.46,3.91,15.09,5.12
Chris Bassitt,605135,Baltimore Orioles,Houston Astros,19.2,8.3,7.63,4.64,13.98,22.2,0.366,0.724,100.0,27.0,48.0,32.0,20.0,92.8,0.799,unknown,unknown,4.46,3.74,blended_2025_2026,0.192305,0.083082,0.192305,0.083082,0.11,0.28,4.6354,5.1485,90.929,5.0,0.222072,0.366103,0.723695,1.0,100.0,82.0,2.86,3.0,2.51,1.0,2.0,4.0,5.0,13.99,15.0,2.28,11.0,13.0,15.0,16.0,4.66,5.3939,0.142,0.0519,0.016,0.0051,0.0004,0.2197,0.1118,0.0179,0.0052,2.86,3.0,1.54,1.0,2.0,4.0,5.0,13.99,15.0,1.83,11.0,13.0,15.0,16.0,0.142,0.0519,0.016,0.0051,0.0004,4.66,0.5106,0.2104,0.0,0.0,13.98,4.66,3.12,2.91,3.22,13.91,4.66
Brandon Williamson,682227,Cincinnati Reds,Colorado Rockies,14.2,15.7,5.86,4.61,13.6,26.6,0.351,0.693,105.0,27.0,48.0,32.0,20.0,92.8,0.8,unknown,unknown,5.04,3.74,current_2026,0.141732,0.15748,0.141732,0.15748,0.11,0.28,4.611,4.111,77.67,7.0,0.26557,0.350643,0.692838,1.0,105.0,82.0,3.22,3.0,2.2,1.0,2.0,4.0,5.0,13.57,14.0,2.25,11.0,13.0,15.0,16.0,4.52,5.1049,0.2072,0.0875,0.0311,0.0073,0.0024,0.1168,0.0505,0.0055,0.0016,3.22,3.0,1.63,1.0,2.0,4.0,5.0,13.57,14.0,1.77,11.0,13.0,15.0,16.0,0.2072,0.0875,0.0311,0.0073,0.0024,4.52,0.2828,0.1545,0.0,0.0,13.6,4.53,3.03,2.86,2.95,13.83,4.53
Andre Pallante,669467,St. Louis Cardinals,Pittsburgh Pirates,15.8,9.4,6.25,4.76,14.04,25.2,0.349,0.692,98.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,3.49,3.49,blended_2025_2026,0.157756,0.09396,0.157756,0.09396,0.11,0.28,4.7633,4.4518,73.257,5.0,0.252088,0.349145,0.691828,0.0,98.0,82.0,3.09,3.0,2.18,1.0,2.0,4.0,5.0,14.01,14.0,2.23,11.0,13.0,15.0,16.0,4.67,5.3143,0.1879,0.0749,0.0253,0.006,0.0014,0.1865,0.0915,0.0119,0.0033,3.09,3.0,1.61,1.0,2.0,4.0,5.0,14.01,14.0,1.9,11.0,13.0,15.0,16.0,0.1879,0.0749,0.0253,0.006,0.0014,4.67,0.491,0.1751,0.0,0.0,14.04,4.68,2.78,2.59,2.44,14.29,4.68
Cade Cavalli,676917,Washington Nationals,New York Mets,19.6,7.7,8.07,3.92,11.05,22.9,0.356,0.704,99.0,27.0,48.0,32.0,20.0,92.8,0.721,unknown,unknown,3.72,3.36,blended_2025_2026,0.196308,0.076794,0.193358,0.07588,0.11,0.28,3.9227,3.6378,67.687,5.25,0.228599,0.356081,0.703953,0.0,99.0,82.0,2.49,2.0,1.92,1.0,1.0,3.0,4.0,10.97,11.0,1.54,8.0,10.0,12.0,14.0,3.66,4.4541,0.0894,0.0257,0.0061,0.0014,0.0004,0.0,0.0,0.0,0.0,2.49,2.0,1.44,1.0,1.0,3.0,4.0,10.97,11.0,1.93,8.0,10.0,12.0,14.0,0.0894,0.0257,0.0061,0.0014,0.0004,3.66,0.0,0.0,0.0,0.0,11.05,3.68,2.46,2.37,2.43,11.77,3.68
Tomoyuki Sugano,608372,Colorado Rockies,Cincinnati Reds,16.0,5.5,6.15,4.88,14.17,22.8,0.357,0.706,105.0,27.0,48.0,32.0,20.0,92.8,0.83,unknown,unknown,3.47,3.36,blended_2025_2026,0.160151,0.05483,0.160151,0.05483,0.11,0.28,4.8753,4.2922,78.319,5.5,0.228056,0.357127,0.706171,0.0,105.0,82.0,2.74,3.0,2.21,1.0,2.0,4.0,5.0,14.12,15.0,2.37,11.0,13.0,15.0,16.0,4.71,5.1162,0.125,0.042,0.0111,0.0029,0.001,0.2114,0.11,0.0185,0.006,2.74,3.0,1.53,1.0,2.0,4.0,5.0,14.12,15.0,1.88,11.0,13.0,15.0,16.0,0.125,0.042,0.0111,0.0029,0.001,4.71,0.5144,0.1953,0.0,0.0,14.17,4.72,2.58,2.36,2.35,14.63,4.72
Matt Waldron,663362,San Diego Padres,Chicago Cubs,11.9,19.8,5.66,4.52,13.24,20.5,0.372,0.735,98.0,27.0,48.0,32.0,20.0,92.8,0.69,unknown,unknown,3.77,3.1,blended_2025_2026,0.118985,0.198116,0.118985,0.198116,0.11,0.28,4.5151,4.5473,77.884,5.25,0.205332,0.371773,0.734741,1.0,98.0,82.0,2.38,2.0,2.14,1.0,1.0,3.0,4.0,13.2,13.0,2.01,10.0,12.0,15.0,16.0,4.4,3.4624,0.0769,0.0262,0.006,0.001,0.0003,0.0751,0.0263,0.0012,0.0002,2.38,2.0,1.45,1.0,1.0,3.0,4.0,13.2,13.0,2.1,10.0,12.0,15.0,16.0,0.0769,0.0262,0.006,0.001,0.0003,4.4,0.3234,0.1595,0.0,0.0,13.24,4.41,2.2,2.0,2.05,13.55,4.41
Elmer Rodríguez,695684,New York Yankees,Texas Rangers,15.0,20.0,6.75,3.74,10.93,23.6,0.352,0.697,103.0,27.0,48.0,32.0,20.0,92.8,0.519,unknown,unknown,2.63,3.1,current_2026,0.15,0.2,0.15,0.2,0.11,0.28,3.743,4.0,80.0,5.0,0.236466,0.352282,0.696819,0.0,103.0,56.898466,2.34,2.0,1.84,1.0,1.0,3.0,4.0,10.9,11.0,1.7,8.0,10.0,13.0,14.0,3.63,3.0,0.0788,0.0253,0.0063,0.0008,0.0001,0.0,0.0,0.0,0.0,2.34,2.0,1.46,1.0,1.0,3.0,4.0,10.9,11.0,2.05,8.0,10.0,13.0,14.0,0.0788,0.0253,0.0063,0.0008,0.0001,3.63,0.0,0.0,0.0,0.0,10.93,3.64,2.16,2.0,2.0,11.23,3.64
Brayan Bello,678394,Boston Red Sox,Toronto Blue Jays,16.5,9.1,6.51,4.78,13.83,18.6,0.366,0.725,101.0,27.0,48.0,32.0,20.0,92.8,0.827,unknown,unknown,3.12,3.1,blended_2025_2026,0.164812,0.09141,0.164812,0.09141,0.11,0.28,4.7802,4.3525,82.61,5.0,0.185879,0.366474,0.724517,0.0,101.0,82.0,2.26,2.0,2.08,1.0,1.0,3.0,4.0,13.77,14.0,2.29,11.0,13.0,15.0,16.0,4.59,4.3501,0.0675,0.0196,0.005,0.0006,0.0,0.1853,0.0921,0.0127,0.0037,2.26,2.0,1.42,1.0,1.0,3.0,4.0,13.77,14.0,1.95,11.0,13.0,15.0,16.0,0.0675,0.0196,0.005,0.0006,0.0,4.59,0.4335,0.1494,0.0,0.0,13.83,4.61,2.24,2.0,2.07,14.34,4.61
