player_name,team,opponent,pitcher_name,lineup_spot,expected_pa,fantasy_points,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,confidence
Caleb Durbin,Boston Red Sox,New York Yankees,Luis Gil,6,4.05,3.43,0.0,3.0,9.0,Medium
Jeff McNeil,Athletics,Seattle Mariners,Luis Castillo,6,4.13,3.43,0.0,3.0,9.0,Medium
Austin Slater,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.04,3.42,0.0,3.0,9.0,Medium
Maikel Garcia,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.06,3.42,0.0,2.0,9.0,Medium
Javier Báez,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.05,3.4,0.0,2.0,9.0,Medium
Adolis García,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.11,3.39,0.0,3.0,9.0,Medium
Connor Joe,Seattle Mariners,Athletics,Jacob Lopez,6,4.05,3.39,0.0,2.0,9.0,Medium
Taylor Trammell,Houston Astros,Cleveland Guardians,Parker Messick,6,4.11,3.38,0.0,2.0,9.0,Medium
Jake Fraley,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.04,3.38,0.0,2.0,9.0,Medium
Carlos Cortes,Athletics,Seattle Mariners,Luis Castillo,6,4.13,3.37,0.0,3.0,8.0,Medium
Ozzie Albies,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.13,3.36,0.0,2.0,9.0,Medium
Jonathan India,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.05,3.36,0.0,2.0,9.0,Medium
Liam Hicks,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.07,3.34,0.0,2.0,9.0,Medium
Dylan Beavers,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.11,3.34,0.0,3.0,9.0,Medium
Greg Jones,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.1,3.33,0.0,2.0,9.0,Medium
Carter Jensen,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.05,3.33,0.0,2.0,9.0,Medium
Gleyber Torres,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.07,3.31,0.0,3.0,8.0,Medium
José Fermín,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.1,3.3,0.0,2.0,9.0,Medium
Jorge Mateo,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.12,3.3,0.0,2.0,9.0,Medium
Blaze Alexander,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.1,3.3,0.0,3.0,8.0,Medium
Jonathan Aranda,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.06,3.29,0.0,2.0,9.0,Medium
Jesús Sánchez,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.11,3.28,0.0,2.0,9.0,Medium
Jorbit Vivas,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.08,3.26,0.0,2.0,9.0,Medium
Ryan Jeffers,Minnesota Twins,New York Mets,Nolan McLean,6,4.13,3.26,0.0,2.0,9.0,Medium
Sam Antonacci,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.12,3.26,0.0,2.0,9.0,Medium
J.P. Crawford,Seattle Mariners,Athletics,Jacob Lopez,6,4.07,3.26,0.0,2.0,8.0,Medium
Connor Norby,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.06,3.25,0.0,2.0,9.0,Medium
Vladimir Guerrero Jr.,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.16,3.25,0.0,2.0,9.0,Medium
Kevin McGonigle,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.09,3.24,0.0,2.0,9.0,Medium
Joey Wiemer,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.08,3.24,0.0,2.0,9.0,Medium
Jung Hoo Lee,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.03,3.24,0.0,2.0,9.0,Medium
Mauricio Dubón,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.13,3.23,0.0,2.0,9.0,Medium
Jarren Duran,Boston Red Sox,New York Yankees,Luis Gil,6,4.05,3.23,0.0,2.0,9.0,Medium
Kyle Farmer,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.11,3.22,0.0,2.0,9.0,Medium
Edgar Quero,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.1,3.22,0.0,2.0,9.0,Medium
Braden Shewmake,Houston Astros,Cleveland Guardians,Parker Messick,6,4.1,3.22,0.0,2.0,8.0,Medium
Carlos Narváez,Boston Red Sox,New York Yankees,Luis Gil,6,4.06,3.21,0.0,2.0,8.0,Medium
Pete Alonso,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.11,3.2,0.0,0.0,9.0,Medium
Shea Langeliers,Athletics,Seattle Mariners,Luis Castillo,6,4.14,3.2,0.0,2.0,9.0,Medium
Roman Anthony,Boston Red Sox,New York Yankees,Luis Gil,6,4.09,3.19,0.0,2.0,9.0,Medium
Andy Ibáñez,Athletics,Seattle Mariners,Luis Castillo,6,4.11,3.18,0.0,2.0,9.0,Medium
Jose Fernandez,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.05,3.17,0.0,2.0,9.0,Medium
Brett Baty,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.02,3.17,0.0,2.0,8.1,Medium
Christian Koss,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.03,3.17,0.0,2.0,8.0,Medium
Isaac Paredes,Houston Astros,Cleveland Guardians,Parker Messick,6,4.11,3.16,0.0,2.0,9.0,Medium
Jazz Chisholm Jr.,New York Yankees,Boston Red Sox,Connelly Early,6,4.11,3.16,0.0,2.0,8.0,Medium
Scott Kingery,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.05,3.16,0.0,2.0,8.0,Medium
Jonah Heim,Atlanta Braves,Washington Nationals,Foster Griffin,6,4.11,3.15,0.0,2.0,8.0,Medium
Tyler Tolbert,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.05,3.15,0.0,2.0,8.0,Medium
Randy Arozarena,Seattle Mariners,Athletics,Jacob Lopez,6,4.08,3.15,0.0,2.0,8.0,Medium
Kyle Schwarber,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.13,3.14,0.0,0.0,12.0,Medium
Vaughn Grissom,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.06,3.14,0.0,2.0,9.0,Medium
Andrew Benintendi,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.1,3.14,0.0,2.0,9.0,Medium
Jahmai Jones,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.05,3.13,0.0,2.0,9.0,Medium
Luke Raley,Seattle Mariners,Athletics,Jacob Lopez,6,4.07,3.13,0.0,2.0,8.0,Medium
Davis Schneider,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.11,3.12,0.0,2.0,9.0,Medium
Moisés Ballesteros,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.08,3.11,0.0,2.0,9.0,Medium
Dane Myers,Cincinnati Reds,Tampa Bay Rays,Steven Matz,6,4.11,3.11,0.0,2.0,8.0,Medium
Heriberto Hernández,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.04,3.1,0.0,2.0,8.0,Medium
Luis Arraez,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.04,3.1,0.0,2.0,8.0,Medium
J.C. Escarra,New York Yankees,Boston Red Sox,Connelly Early,6,4.12,3.08,0.0,0.0,9.0,Medium
Miguel Amaya,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.06,3.08,0.0,2.0,9.0,Medium
Xavier Edwards,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.1,3.07,0.0,2.0,8.0,Medium
George Valera,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.05,3.06,0.0,2.0,8.0,Medium
Eugenio Suárez,Cincinnati Reds,Tampa Bay Rays,Steven Matz,6,4.11,3.06,0.0,2.0,8.0,Medium
Pedro Pagés,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.09,3.05,0.0,2.0,8.1,Medium
Hayden Senger,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.05,3.05,0.0,2.0,8.0,Medium
Taylor Ward,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.15,3.05,0.0,2.0,8.0,Medium
Nathan Church,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.09,3.04,0.0,2.0,9.0,Medium
Brady House,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.04,3.04,0.0,2.0,8.0,Medium
Luke Keaschall,Minnesota Twins,New York Mets,Nolan McLean,6,4.08,3.04,0.0,2.0,8.0,Medium
MJ Melendez,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.06,3.04,0.0,0.0,8.0,Medium
Alec Bohm,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.08,3.04,0.0,2.0,8.0,Medium
Joey Ortiz,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.09,3.03,0.0,2.0,8.0,Medium
James Outman,Minnesota Twins,New York Mets,Nolan McLean,6,4.09,3.03,0.0,2.0,8.0,Medium
Drew Gilbert,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.03,3.03,0.0,2.0,8.0,Medium
Matt McLain,Cincinnati Reds,Tampa Bay Rays,Steven Matz,6,4.11,3.02,0.0,2.0,8.0,Medium
Edmundo Sosa,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.11,3.0,0.0,2.0,9.0,Medium
Riley Greene,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.08,2.99,0.0,2.0,8.0,Medium
Aramis Garcia,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.05,2.99,0.0,2.0,8.0,Medium
Brice Matthews,Houston Astros,Cleveland Guardians,Parker Messick,6,4.09,2.98,0.0,0.0,9.0,Medium
Felix Reyes,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.11,2.98,0.0,2.0,8.0,Medium
Lenyn Sosa,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.09,2.98,0.0,0.0,8.0,Medium
Ryan Kreidler,Minnesota Twins,New York Mets,Nolan McLean,6,4.11,2.97,0.0,0.0,9.0,Medium
Santiago Espinal,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.09,2.96,0.0,0.0,9.0,Medium
Nasim Nuñez,Washington Nationals,Atlanta Braves,Reynaldo López,6,4.04,2.96,0.0,2.0,8.0,Medium
Weston Wilson,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.11,2.96,0.0,2.0,8.0,Medium
Bryce Teodosio,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.05,2.96,0.0,2.0,8.0,Medium
Jorge Barrosa,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.05,2.94,0.0,0.0,8.1,Medium
Austin Hedges,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.05,2.94,0.0,2.0,8.0,Medium
Brandon Valenzuela,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.1,2.94,0.0,0.0,8.0,Medium
Alex Freeland,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.09,2.94,0.0,2.0,8.0,Medium
Matt Vierling,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.04,2.93,0.0,0.0,8.0,Medium
Trent Grisham,New York Yankees,Boston Red Sox,Connelly Early,6,4.13,2.93,0.0,0.0,8.0,Medium
Colt Keith,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.06,2.92,0.0,2.0,8.0,Medium
Giancarlo Stanton,New York Yankees,Boston Red Sox,Connelly Early,6,4.12,2.92,0.0,2.0,8.0,Medium
Isaac Collins,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.04,2.92,0.0,2.0,8.0,Medium
Willson Contreras,Boston Red Sox,New York Yankees,Luis Gil,6,4.11,2.91,0.0,0.0,8.0,Medium
Pete Crow-Armstrong,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.04,2.91,0.0,2.0,8.0,Medium
Colton Cowser,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.1,2.9,0.0,2.0,8.0,Medium
Josh Lowe,Los Angeles Angels,Toronto Blue Jays,Patrick Corbin,6,4.03,2.9,0.0,2.0,8.0,Medium
Nick Fortes,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.05,2.89,0.0,2.0,8.0,Medium
Taylor Walls,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.04,2.88,0.0,0.0,8.0,Medium
Deyvison De Los Santos,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.05,2.88,0.0,2.0,8.0,Medium
Graham Pauley,Miami Marlins,St. Louis Cardinals,Dustin May,6,4.02,2.88,0.0,2.0,8.0,Medium
Hunter Feduccia,Tampa Bay Rays,Cincinnati Reds,Chase Burns,6,4.05,2.87,0.0,2.0,8.0,Medium
Kerry Carpenter,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.06,2.87,0.0,0.0,8.0,Medium
J.T. Realmuto,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.13,2.87,0.0,2.0,8.0,Medium
Heliot Ramos,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.03,2.86,0.0,0.0,8.0,Medium
Ke'Bryan Hayes,Cincinnati Reds,Tampa Bay Rays,Steven Matz,6,4.06,2.85,0.0,2.0,8.0,Medium
Luis Torrens,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.05,2.85,0.0,0.0,8.0,Medium
Max Muncy,Athletics,Seattle Mariners,Luis Castillo,6,4.11,2.85,0.0,0.0,8.0,Medium
Trevor Larnach,Minnesota Twins,New York Mets,Nolan McLean,6,4.13,2.84,0.0,0.0,8.0,Medium
Josh Naylor,Seattle Mariners,Athletics,Jacob Lopez,6,4.02,2.84,0.0,2.0,8.0,Medium
Ramón Urías,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.1,2.83,0.0,0.0,8.0,Medium
Kazuma Okamoto,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.1,2.83,0.0,0.0,8.0,Medium
Ryan Ward,Los Angeles Dodgers,San Francisco Giants,Landen Roupp,6,4.1,2.83,0.0,0.0,8.0,Medium
William Contreras,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.14,2.82,0.0,0.0,8.0,Medium
Matt Chapman,San Francisco Giants,Los Angeles Dodgers,Yoshinobu Yamamoto,6,4.04,2.82,0.0,2.0,8.0,Medium
