player_name,team,opponent,pitcher_name,lineup_spot,expected_pa,fantasy_points,fantasy_points_p10,fantasy_points_p50,fantasy_points_p90,confidence
Tyrone Taylor,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.05,2.42,0.0,0.0,7.0,High
Tristan Peters,Chicago White Sox,Arizona Diamondbacks,Merrill Kelly,6,4.11,2.42,0.0,0.0,7.0,High
Hao-Yu  Lee,Detroit Tigers,Milwaukee Brewers,Kyle Harrison,6,4.05,2.41,0.0,0.0,7.0,High
Starling Marte,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.05,2.4,0.0,0.0,7.0,High
Seiya Suzuki,Chicago Cubs,Philadelphia Phillies,Jesús Luzardo,6,4.06,2.38,0.0,0.0,7.0,High
Steven Kwan,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.04,2.36,0.0,0.0,7.0,High
Tristan Gray,Minnesota Twins,New York Mets,Nolan McLean,6,4.1,2.35,0.0,0.0,7.0,High
Rhys Hoskins,Cleveland Guardians,Houston Astros,Ryan Weiss,6,4.06,2.34,0.0,0.0,7.0,High
Lourdes Gurriel Jr.,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.05,2.34,0.0,0.0,7.0,High
Nolan Arenado,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.02,2.33,0.0,0.0,7.0,High
Yainer Diaz,Houston Astros,Cleveland Guardians,Parker Messick,6,4.07,2.32,0.0,0.0,7.0,High
Tyler Heineman,Toronto Blue Jays,Los Angeles Angels,Jack Kochanowicz,6,4.1,2.31,0.0,0.0,7.0,High
Tim Tawa,Arizona Diamondbacks,Chicago White Sox,Sean Burke,6,4.04,2.31,0.0,0.0,7.0,High
Rece Hinds,Cincinnati Reds,Tampa Bay Rays,Steven Matz,6,4.1,2.28,0.0,0.0,7.0,High
Thomas Saggese,St. Louis Cardinals,Miami Marlins,Chris Paddack,6,4.09,2.27,0.0,0.0,7.0,High
Mark Vientos,New York Mets,Minnesota Twins,Simeon Woods Richardson,6,4.04,2.27,0.0,0.0,7.0,High
Sal Frelick,Milwaukee Brewers,Detroit Tigers,Keider Montero,6,4.1,2.26,0.0,0.0,7.0,High
Samuel Basallo,Baltimore Orioles,Kansas City Royals,Kris Bubic,6,4.1,2.25,0.0,0.0,7.0,High
Michael Massey,Kansas City Royals,Baltimore Orioles,Shane Baz,6,4.04,2.25,0.0,0.0,7.0,High
Zack Gelof,Athletics,Seattle Mariners,Luis Castillo,6,4.11,2.22,0.0,0.0,7.0,High
Dylan Moore,Philadelphia Phillies,Chicago Cubs,Shota Imanaga,6,4.11,2.21,0.0,0.0,7.0,High
