slate_date,game_date,player_name,player_id,player_key,team,opponent,stat,projected_value,actual_value,error,absolute_error,squared_error,source_file,created_at_utc
2026-05-08,2026-05-08,Brittney Griner,brittney griner,brittney griner,CON,NYL,points,10.28,13.0,-2.7200000000000006,2.7200000000000006,7.398400000000003,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Griner,brittney griner,brittney griner,CON,NYL,rebounds,5.13,6.0,-0.8700000000000001,0.8700000000000001,0.7569000000000002,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Griner,brittney griner,brittney griner,CON,NYL,assists,1.07,2.0,-0.9299999999999999,0.9299999999999999,0.8648999999999999,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Griner,brittney griner,brittney griner,CON,NYL,threes_made,0.2,0.0,0.2,0.2,0.04000000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Griner,brittney griner,brittney griner,CON,NYL,steals,0.47,0.0,0.47,0.47,0.22089999999999999,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Griner,brittney griner,brittney griner,CON,NYL,blocks,1.22,0.0,1.22,1.22,1.4884,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Sykes,brittney sykes,brittney sykes,TOR,WAS,points,14.98,14.0,0.9800000000000004,0.9800000000000004,0.9604000000000008,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Sykes,brittney sykes,brittney sykes,TOR,WAS,rebounds,3.76,3.0,0.7599999999999998,0.7599999999999998,0.5775999999999997,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Sykes,brittney sykes,brittney sykes,TOR,WAS,assists,3.93,2.0,1.9300000000000002,1.9300000000000002,3.7249000000000008,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
2026-05-08,2026-05-08,Brittney Sykes,brittney sykes,brittney sykes,TOR,WAS,threes_made,1.33,0.0,1.33,1.33,1.7689000000000001,/home/ubuntu/EdgeRanked/sports/wnba/outputs/archive/projections/wnba_projections_20260508.csv,2026-06-11T11:30:45Z
