player,stat_type,line
RJ Barrett,PTS,20.5
RJ Barrett,REB,5.0
Reed Sheppard,PTS,14.5
Reed Sheppard,STL,1.5
Robert Williams,REB,7.0
Ryan Kalkbrenner,PTS,4.5
Saddiq Bey,AST,2.5
Saddiq Bey,PTS,17.5
Sam Hauser,3PM,2.5
Sam Hauser,PTS,9.5
Sam Hauser,REB,3.5
Sam Hauser,STL,0.5
Scoot Henderson,PTS,17.0
Scottie Barnes,AST,7.0
Scottie Barnes,PTS,18.5
Scottie Barnes,REB,7.0
Shai Gilgeous-Alexander,3PM,1.5
Shai Gilgeous-Alexander,AST,6.0
Shai Gilgeous-Alexander,PTS,30.5
Shai Gilgeous-Alexander,REB,4.0
Sidy Cissoko,PTS,7.0
Tari Eason,PTS,9.0
Tari Eason,REB,5.5
Tim Hardaway,PTS,11.5
Tim Hardaway,STL,0.5
Toumani Camara,3PM,2.5
Toumani Camara,PTS,13.5
Toumani Camara,REB,5.0
Trey Murphy,AST,3.5
Trey Murphy,PTS,20.5
Trey Murphy,REB,5.0
Tristan Silva,3PM,1.5
Tristan Silva,PTS,11.5
Tristan Vukcevic,AST,1.5
Tristan Vukcevic,PTS,11.5
Tristan Vukcevic,REB,4.0
Tyler Herro,AST,4.0
Tyler Herro,PTS,23.0
Tyler Herro,REB,5.0
Wendell Carter,PTS,11.5
Wendell Carter,REB,7.5
Will Riley,PTS,15.5
Ziaire Williams,PTS,12.5
Zion Williamson,PTS,20.5
Zion Williamson,REB,5.5
