GAME_DATE,PLAYER_KEY,PLAYER,TEAM,OPPONENT,MATCHUP,STAT,STAT_LABEL,PROJECTION,MEDIAN,FLOOR,CEILING,STDDEV,MIN,CONFIDENCE,ACTIVE_PROB,INJURY_STATUS,SIM_RUNS,CONFIDENCE_RANK
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,PA,Pts+Ast,21.3,20.7,14.09,29.26,6.04,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,PA,Pts+Ast,14.11,12.77,6.43,23.42,7.0,29.13,Low,,UNKNOWN,10000,1
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,PA,Pts+Ast,12.99,12.22,6.79,20.15,5.42,27.65,Low,,UNKNOWN,10000,1
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,PA,Pts+Ast,11.55,8.44,1.79,24.94,11.1,19.65,Low,,UNKNOWN,10000,1
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,PA,Pts+Ast,9.99,5.69,0.46,24.11,12.66,12.27,Medium,,UNKNOWN,10000,2
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,PA,Pts+Ast,7.76,3.26,0.06,20.44,12.5,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,PA,Pts+Ast,7.34,2.42,0.01,20.5,13.66,11.87,Medium,,UNKNOWN,10000,2
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,PA,Pts+Ast,4.33,3.0,0.01,11.0,6.35,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,maddy siegrist,Maddy Siegrist,DAL,NYL,DAL vs NYL,PA,Pts+Ast,3.92,2.41,0.26,9.45,4.65,8.93,Medium,,UNKNOWN,10000,2
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,PA,Pts+Ast,2.81,2.64,0.81,4.96,1.62,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,PR,Pts+Reb,27.65,27.04,19.7,36.42,6.56,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,paige bueckers,Paige Bueckers,DAL,NYL,DAL vs NYL,PR,Pts+Reb,25.98,25.57,19.49,33.01,5.32,33.91,Medium,,UNKNOWN,10000,2
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,PR,Pts+Reb,16.21,14.88,7.68,26.48,7.72,29.13,Low,,UNKNOWN,10000,1
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,PR,Pts+Reb,14.67,11.42,3.26,29.85,12.01,19.65,Low,,UNKNOWN,10000,1
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,PR,Pts+Reb,13.79,13.0,7.51,21.2,5.48,27.65,Low,,UNKNOWN,10000,1
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,PR,Pts+Reb,12.67,6.31,0.93,31.08,18.3,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,PR,Pts+Reb,10.6,6.49,1.48,24.19,12.45,12.27,Medium,,UNKNOWN,10000,2
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,PR,Pts+Reb,8.57,3.77,0.9,21.71,13.74,11.87,Medium,,UNKNOWN,10000,2
2026-07-16,maddy siegrist,Maddy Siegrist,DAL,NYL,DAL vs NYL,PR,Pts+Reb,7.06,4.7,0.83,16.26,7.4,8.93,Medium,,UNKNOWN,10000,2
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,PR,Pts+Reb,4.93,4.68,1.47,8.56,2.75,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,PR,Pts+Reb,3.76,1.31,0.03,10.19,6.35,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,32.45,31.82,23.53,42.33,7.45,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,paige bueckers,Paige Bueckers,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,31.53,31.15,24.17,39.4,6.01,33.91,Medium,,UNKNOWN,10000,2
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,17.12,15.93,8.83,27.06,7.44,29.13,Low,,UNKNOWN,10000,1
2026-07-16,awak kuier,Awak Kuier,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,16.52,12.73,3.6,33.84,13.84,19.65,Low,,UNKNOWN,10000,1
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,16.24,15.54,9.43,23.97,5.87,27.65,Low,,UNKNOWN,10000,1
2026-07-16,odyssey sims,Odyssey Sims,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,12.02,7.88,1.69,27.18,13.13,12.27,Medium,,UNKNOWN,10000,2
2026-07-16,aziaha james,Aziaha James,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,11.62,6.75,0.96,27.8,14.84,10.1,Medium,,UNKNOWN,10000,2
2026-07-16,alysha clark,Alysha Clark,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,9.42,4.7,0.92,23.13,14.04,11.87,Medium,,UNKNOWN,10000,2
2026-07-16,maddy siegrist,Maddy Siegrist,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,6.37,4.38,0.77,14.27,6.42,8.93,Medium,,UNKNOWN,10000,2
2026-07-16,sug sutton,Sug Sutton,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,5.3,3.18,0.08,13.08,6.92,9.36,Medium,,UNKNOWN,10000,2
2026-07-16,li yueru,Li Yueru,DAL,NYL,DAL vs NYL,PRA,Pts+Reb+Ast,4.62,4.38,1.36,8.09,2.61,8.91,Medium,,UNKNOWN,10000,2
2026-07-16,paige bueckers,Paige Bueckers,DAL,NYL,DAL vs NYL,PTS,Points,23.42,23.0,17.05,30.32,5.25,33.91,Medium,,UNKNOWN,10000,2
2026-07-16,jessica shepard,Jessica Shepard,DAL,NYL,DAL vs NYL,PTS,Points,16.62,16.06,10.66,23.15,5.02,33.4,Medium,,UNKNOWN,10000,2
2026-07-16,azzi fudd,Azzi Fudd,DAL,NYL,DAL vs NYL,PTS,Points,13.84,12.35,5.46,24.17,7.72,29.13,Low,,UNKNOWN,10000,1
2026-07-16,arike ogunbowale,Arike Ogunbowale,DAL,NYL,DAL vs NYL,PTS,Points,10.99,10.14,5.02,18.04,5.3,27.65,Low,,UNKNOWN,10000,1
