game_date,season,player_name,team,opponent,home_away,minutes,points,rebounds,assists,threes_made,steals,blocks,turnovers,fga,fgm,fta,ftm,offensive_rebounds,defensive_rebounds,plus_minus,player_key,is_home,_data_source,game_id,player_id,position,starter,played,source,prev_game_date,rest_days,is_back_to_back,games_played_season,team_points,team_rebounds,team_assists,team_threes_made,team_steals,team_blocks,team_minutes,team_points_last_10,team_rebounds_last_10,team_assists_last_10,team_threes_made_last_10,team_steals_last_10,team_blocks_last_10,usage_proxy,usage_proxy_last_5,usage_proxy_last_10,minutes_rolling_mean_3,minutes_rolling_std_3,minutes_rolling_mean_5,minutes_rolling_std_5,minutes_rolling_mean_10,minutes_rolling_std_10,minutes_ewm,points_rolling_mean_3,points_rolling_std_3,points_rolling_mean_5,points_rolling_std_5,points_rolling_mean_10,points_rolling_std_10,points_ewm,rebounds_rolling_mean_3,rebounds_rolling_std_3,rebounds_rolling_mean_5,rebounds_rolling_std_5,rebounds_rolling_mean_10,rebounds_rolling_std_10,rebounds_ewm,assists_rolling_mean_3,assists_rolling_std_3,assists_rolling_mean_5,assists_rolling_std_5,assists_rolling_mean_10,assists_rolling_std_10,assists_ewm,threes_made_rolling_mean_3,threes_made_rolling_std_3,threes_made_rolling_mean_5,threes_made_rolling_std_5,threes_made_rolling_mean_10,threes_made_rolling_std_10,threes_made_ewm,steals_rolling_mean_3,steals_rolling_std_3,steals_rolling_mean_5,steals_rolling_std_5,steals_rolling_mean_10,steals_rolling_std_10,steals_ewm,blocks_rolling_mean_3,blocks_rolling_std_3,blocks_rolling_mean_5,blocks_rolling_std_5,blocks_rolling_mean_10,blocks_rolling_std_10,blocks_ewm,minutes_trend_3_over_10,rate_points_last_10,player_points_std_10,rate_rebounds_last_10,player_rebounds_std_10,rate_assists_last_10,player_assists_std_10,rate_threes_made_last_10,player_threes_made_std_10,rate_steals_last_10,player_steals_std_10,rate_blocks_last_10,player_blocks_std_10,player_minutes_std_10,season_avg_minutes,season_avg_points,season_avg_rebounds,season_avg_assists,season_avg_threes_made,season_avg_steals,season_avg_blocks,pace_last_10,off_rating_last_10,def_rating_last_10,opp_points_last_10,opponent_points_allowed_last_10,opponent_rebounds_allowed_last_10,opponent_assists_allowed_last_10,opponent_threes_made_allowed_last_10,opponent_steals_allowed_last_10,opponent_blocks_allowed_last_10,pos_points_allowed_last_10_x,pos_rebounds_allowed_last_10_x,pos_assists_allowed_last_10_x,pos_threes_made_allowed_last_10_x,pos_steals_allowed_last_10_x,pos_blocks_allowed_last_10_x,opp_points_allowed_last_10,last_game_date,days_since_last_game,pos_points_allowed_last_10_y,pos_rebounds_allowed_last_10_y,pos_assists_allowed_last_10_y,pos_threes_made_allowed_last_10_y,pos_steals_allowed_last_10_y,pos_blocks_allowed_last_10_y
2026-07-08,2026,Aaliyah Edwards,CON,MIN,H,12.0,5.0,2.0,1.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,-12.0,aaliyah edwards,1,last_good_canonical,,,UNK,,,,2026-07-02,1,0,21,90.0,32.0,21.0,7.0,11.0,6.0,200.0,83.3,33.5,19.4,4.7,7.8,5.1,0.6333333333333333,0.7443575605680868,0.6074406850459482,17.0,2.645751311064593,17.8,2.280350850198281,20.125,5.914570386523667,18.19764357737421,9.333333333333334,2.8867513459481264,8.6,2.5099800796022267,11.125,6.034129124050483,9.387488956544306,4.333333333333333,1.1547005383792517,3.6,1.341640786499874,3.75,1.1649647450214289,3.721489534059561,1.3333333333333333,2.309401076758504,1.4,1.6733200530681511,1.0,1.4142135623730951,1.7036290821511515,0.3333333333333333,0.5773502691896258,0.2,0.4472135954999579,0.375,0.5175491695067657,0.21488178359375,0.3333333333333333,0.5773502691896258,0.4,0.5477225575051659,0.625,1.0606601717798216,0.3378626991980486,0.3333333333333333,0.5773502691896257,0.4,0.5477225575051661,0.25,0.4629100498862754,0.2165336364807576,-3.125,0.5527950310559007,6.034129124050483,0.186335403726708,1.1649647450214289,0.0496894409937888,1.4142135623730951,0.0186335403726708,0.5175491695067657,0.031055900621118,1.0606601717798216,0.0124223602484472,0.4629100498862754,5.914570386523667,14.31578947368421,7.2105263157894735,2.789473684210526,0.6842105263157895,0.1578947368421052,0.631578947368421,0.2631578947368421,,,,85.1,80.0,32.7,19.2,8.7,7.2,2.6,66.1,28.4,16.0,7.3,6.1,2.0,85.1,2026-07-06,2,66.1,28.4,16.0,7.3,6.1,2.0
2026-07-08,2026,Alissa Pili,LAS,IND,H,3.0,,,,,,,,,,,,,,,alissa pili,1,last_good_canonical,,,UNK,,,,2025-09-12,1,0,0,64.0,35.0,18.0,5.0,7.0,1.0,200.0,86.0,28.7,21.1,7.2,5.7,3.2,0.0,0.6766666666666665,0.3383333333333333,2.333333333333333,3.214550253664318,3.0,2.549509756796392,1.5,2.3213980461973533,2.9188394001928937,2.333333333333333,4.041451884327381,3.0,3.3166247903554,1.5,2.718251071716682,3.152674006593882,0.3333333333333333,0.5773502691896258,0.4,0.5477225575051661,0.2,0.4216370213557839,0.4124953452443811,0.0,0.0,0.0,0.0,0.0,0.0,1.1359083440235418e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.211162073580766e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.277223044425916e-06,0.3333333333333333,0.5773502691896258,0.2,0.4472135954999579,0.1,0.3162277660168379,0.35,0.8333333333333335,1.0,2.718251071716682,0.1333333333333333,0.4216370213557839,0.0,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.3162277660168379,2.3213980461973533,,,,,,,,85.55199999999999,101.53791113599274,113.68339358366138,99.7,93.2,28.5,21.8,6.7,6.9,3.5,71.3,28.2,16.2,7.7,6.2,3.2,99.7,2026-07-06,2,80.4,26.7,17.7,6.4,6.4,3.0
2026-07-08,2026,Aliyah Boston,IND,LAS,A,31.0,18.0,10.0,1.0,3.0,0.0,2.0,1.0,13.0,7.0,4.0,1.0,3.0,7.0,16.0,aliyah boston,0,last_good_canonical,,,C,,,,2026-06-28,2,0,23,84.0,39.0,18.0,9.0,5.0,3.0,200.0,101.2,36.9,20.8,10.6,5.4,3.9,0.9032258064516128,0.9078029556650248,1.0287090415922822,25.666666666666668,8.082903768654761,27.0,5.999999999999983,28.1,5.34270010803941,25.08355599440132,19.0,3.4641016151377544,14.6,6.503845016603645,17.4,7.848566748139433,16.516771411907005,7.666666666666667,1.154700538379252,8.2,1.095445115010332,9.2,1.6865480854231312,7.8958415441673075,3.6666666666666665,1.1547005383792508,2.2,2.16794833886788,3.2,1.9888578520235072,2.9689599007643053,1.0,0.0,1.0,0.0,1.2,0.4216370213557839,1.0448365016420371,0.3333333333333333,0.5773502691896258,1.0,1.0000000000000004,1.0,0.816496580927726,0.5600870878452342,2.0,1.7320508075688772,1.6,1.3416407864998738,1.5,1.2692955176439846,2.0480227719288124,-2.4333333333333336,0.6192170818505337,7.848566748139433,0.3274021352313166,1.6865480854231312,0.1138790035587188,1.9888578520235072,0.0427046263345195,0.4216370213557839,0.0355871886120996,0.816496580927726,0.0533807829181494,1.2692955176439846,5.34270010803941,24.869565217391305,15.130434782608695,7.826086956521739,2.739130434782609,1.0,0.9565217391304348,1.3478260869565215,83.69,120.26117312426857,95.5952352891878,93.2,99.7,38.2,22.4,11.1,8.5,4.1,12.0,4.7,1.5,1.0,0.2,0.3,93.2,2026-07-05,3,15.1,8.4,2.2,1.5,1.4,2.1
2026-07-08,2026,Anastasiia Olairi Kosu,MIN,CON,A,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,anastasiia olairi kosu,0,last_good_canonical,,,UNK,,,,2026-07-03,1,0,27,89.0,32.0,24.0,10.0,5.0,7.0,200.0,90.2,36.3,21.8,8.1,10.1,5.3,0.3333333333333333,0.3698872180451127,0.5569436090225564,10.666666666666666,5.773502691896258,11.8,5.848076606885379,13.6,5.440588203494177,11.5691561712467,3.6666666666666665,4.725815626252609,3.2,3.5637059362410923,5.0,3.9721250959376624,4.3648103183988605,1.6666666666666667,1.5275252316519468,2.2,2.4899799195977463,3.1,2.282785822435191,2.18172399921412,1.0,1.7320508075688772,0.6,1.3416407864998738,1.1,1.3703203194062976,1.1563116306744745,0.0,0.0,0.0,0.0,0.2,0.4216370213557839,0.0184017379444336,0.6666666666666666,0.5773502691896262,0.8,0.8366600265340756,0.6,0.8432740427115677,0.7094877349920075,0.6666666666666666,0.5773502691896258,0.8,0.8366600265340756,0.8,0.7888106377466154,0.6039781536644347,-2.9333333333333336,0.3676470588235294,3.9721250959376624,0.2279411764705882,2.282785822435191,0.0808823529411764,1.3703203194062976,0.0147058823529411,0.4216370213557839,0.0441176470588235,0.8432740427115677,0.0588235294117647,0.7888106377466154,5.440588203494177,12.0,4.555555555555555,2.740740740740741,0.7407407407407407,0.074074074074074,0.5555555555555556,0.5555555555555556,84.39333333333333,113.34966594270036,91.52826311238545,80.0,85.1,34.1,18.6,9.0,5.9,3.4,69.7,30.6,16.3,6.7,5.1,3.3,80.0,2026-07-06,2,69.7,30.6,16.3,6.7,5.1,3.3
2026-07-08,2026,Antonia Delaere,MIN,CON,A,25.0,8.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,-1.0,antonia delaere,0,last_good_canonical,,,UNK,,,,2026-07-03,1,0,27,89.0,32.0,24.0,10.0,5.0,7.0,200.0,90.2,36.3,21.8,8.1,10.1,5.3,0.424,0.1692307692307692,0.3090291777188328,7.666666666666667,5.507570547286102,7.6,3.911521443121591,13.3,9.20205291105076,9.046248779254284,2.0,3.4641016151377544,1.2,2.683281572999748,3.0,3.1622776601683795,2.5050802772182466,0.6666666666666666,1.1547005383792517,0.4,0.8944271909999159,0.4,0.6992058987801011,0.7403571164839088,0.6666666666666666,1.1547005383792517,0.4,0.8944271909999159,1.8,2.820559440174158,0.8979591918837567,0.6666666666666666,1.1547005383792517,0.4,0.8944271909999159,1.0,1.0540925533894598,0.8324959948779938,0.0,0.0,0.2,0.4472135954999576,0.8,1.2292725943057183,0.1702982011815396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.633333333333334,0.225563909774436,3.1622776601683795,0.0300751879699248,0.6992058987801011,0.1353383458646616,2.820559440174158,0.075187969924812,1.0540925533894598,0.0601503759398496,1.2292725943057183,0.0,0.0,9.20205291105076,13.555555555555555,2.6296296296296298,0.7037037037037037,1.6666666666666667,0.6666666666666666,0.5555555555555556,0.0,84.39333333333333,113.34966594270036,91.52826311238545,80.0,85.1,34.1,18.6,9.0,5.9,3.4,69.7,30.6,16.3,6.7,5.1,3.3,80.0,2026-07-06,2,69.7,30.6,16.3,6.7,5.1,3.3
2026-07-08,2026,Ariel Atkins,LAS,IND,H,22.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,1.0,2.0,3.0,-17.0,ariel atkins,1,last_good_canonical,,,UNK,,,,2026-06-28,1,0,25,64.0,35.0,18.0,5.0,7.0,1.0,200.0,86.0,28.7,21.1,7.2,5.7,3.2,0.3863636363636363,0.6284715284715284,0.4847303878916781,19.33333333333333,4.618802153517007,22.0,4.898979485566355,24.3,5.313504806936121,22.09162401841585,8.0,6.928203230275509,8.8,5.0199601592044525,7.0,3.91578004149021,9.100868710725642,2.0,1.7320508075688772,2.0,1.2247448713915896,1.3,1.1595018087284077,2.173804813777796,2.333333333333333,1.1547005383792517,3.0,1.224744871391589,2.8,0.9189365834726824,2.832144907768224,1.3333333333333333,1.1547005383792517,1.6,0.8944271909999159,0.9,0.9944289260117516,1.4958469084136858,1.0,0.0,0.6,0.5477225575051661,1.0,0.6666666666666683,0.9246116764340292,0.0,0.0,0.8,1.095445115010332,0.4,0.8432740427115678,0.3176976635688871,-4.966666666666669,0.2880658436213991,3.91578004149021,0.0534979423868312,1.1595018087284077,0.1152263374485596,0.9189365834726824,0.037037037037037,0.9944289260117516,0.0411522633744856,0.6666666666666683,0.0164609053497942,0.8432740427115678,5.313504806936121,25.44,8.24,2.8,2.6,1.16,1.56,0.36,85.55199999999999,101.53791113599274,113.68339358366138,99.7,93.2,28.5,21.8,6.7,6.9,3.5,71.3,28.2,16.2,7.7,6.2,3.2,99.7,2026-07-06,2,80.4,26.7,17.7,6.4,6.4,3.0
2026-07-08,2026,Ashlon Jackson,CON,MIN,H,5.0,,,,,,,,,,,,,,,ashlon jackson,1,last_good_canonical,,,UNK,,,,2026-06-26,5,0,15,83.0,34.0,16.0,3.0,7.0,4.0,200.0,83.3,33.8,19.6,5.0,8.2,5.6,0.0,0.0,0.1721895424836601,5.0,,5.0,,9.2,6.496152707564685,5.54779561871037,0.0,,0.0,,1.2,2.683281572999748,0.2015971863955396,0.0,,0.0,,1.0,0.7071067811865476,0.1970432129730459,0.0,,0.0,,0.8,1.30384048104053,0.1582861573787325,0.0,,0.0,,0.4,0.8944271909999159,0.0524309977621689,1.0,,1.0,,1.0,1.224744871391589,0.9920807254795952,0.0,,0.0,,0.0,0.0,0.0,-4.199999999999999,0.1304347826086956,2.683281572999748,0.108695652173913,0.7071067811865476,0.0869565217391304,1.30384048104053,0.0434782608695652,0.8944271909999159,0.108695652173913,1.224744871391589,0.0,0.0,6.496152707564685,6.1,1.0,0.6,0.5,0.2,0.7,0.0,83.53999999999999,99.24385633270322,98.2532751091703,85.1,80.0,32.7,19.2,8.7,7.2,2.6,74.3,28.6,17.3,8.4,5.4,3.2,84.6,2026-07-02,6,66.1,28.4,16.0,7.3,6.1,2.0
2026-07-08,2026,Bree Hall,IND,LAS,A,6.666666666666667,,,,,,,,,,,,,,,bree hall,0,last_good_canonical,,,UNK,,,,2026-06-28,2,0,6,84.0,39.0,18.0,9.0,5.0,3.0,200.0,101.2,36.9,20.8,10.6,5.4,3.9,0.0,0.252,0.1435,10.0,0.0,6.666666666666667,5.773502691896257,3.4285714285714284,4.7207747548166585,7.23443418058637,5.0,0.0,3.333333333333333,2.8867513459481287,1.4285714285714286,2.439750182371333,3.601728154227949,1.0,0.0,0.6666666666666666,0.5773502691896258,0.4285714285714285,0.534522483824849,0.7502572507638363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.5773502691896258,0.2857142857142857,0.4879500364742666,0.7142419988308545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.571428571428571,0.4166666666666667,2.439750182371333,0.125,0.534522483824849,0.0,0.0,0.0833333333333333,0.4879500364742666,0.0,0.0,0.0,0.0,4.7207747548166585,6.666666666666667,3.333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,83.69,120.26117312426857,95.5952352891878,93.2,99.7,38.2,22.4,11.1,8.5,4.1,73.8,25.5,15.1,6.6,6.1,2.1,93.2,2026-07-05,3,73.6,31.8,18.8,7.7,6.5,3.2
2026-07-08,2026,Brittney Griner,CON,MIN,H,34.0,29.0,10.0,3.0,0.0,2.0,2.0,1.0,14.0,11.0,11.0,7.0,2.0,8.0,13.0,brittney griner,1,last_good_canonical,,,UNK,,,,2026-07-02,1,0,21,90.0,32.0,21.0,7.0,11.0,6.0,200.0,83.3,33.5,19.4,4.7,7.8,5.1,1.1647058823529413,0.7692072275550537,0.5996192877587181,24.33333333333333,4.932882862316248,24.0,3.535533905932738,25.0,3.703280399090196,24.71146237539685,12.333333333333334,2.0816659994661344,11.8,3.898717737923586,11.5,3.854496446637732,11.915742788626131,7.0,4.58257569495584,6.4,3.781534080237808,5.75,3.4121631178560503,6.786220425984389,2.0,1.0000000000000002,1.8,0.8366600265340752,2.625,1.4078859531733574,1.899173427667921,0.0,0.0,0.0,0.0,0.0,0.0,0.0002032351998106,0.0,0.0,0.2,0.447213595499958,0.375,0.7440238091428449,0.0862720948364431,2.0,1.7320508075688774,2.0,1.2247448713915892,2.25,1.0350983390135329,1.714069506852538,-0.6666666666666679,0.46,3.854496446637732,0.23,3.4121631178560503,0.105,1.4078859531733574,0.0,0.0,0.015,0.7440238091428449,0.09,1.0350983390135329,3.703280399090196,16.736842105263158,8.526315789473685,3.631578947368421,1.5263157894736843,0.1052631578947368,0.3157894736842105,1.105263157894737,,,,85.1,80.0,32.7,19.2,8.7,7.2,2.6,66.1,28.4,16.0,7.3,6.1,2.0,85.1,2026-07-06,2,66.1,28.4,16.0,7.3,6.1,2.0
2026-07-08,2026,Cecilia Zandalasini,GSV,TOR,A,15.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,-6.0,cecilia zandalasini,0,last_good_canonical,,,UNK,,,,2026-07-04,1,0,27,62.0,30.0,14.0,6.0,10.0,5.0,200.0,78.8,33.6,17.1,10.1,6.9,4.8,0.5733333333333334,0.6633460656990069,0.7807206518971224,19.0,2.6457513110645907,19.2,2.167948338867857,20.1,5.195083145522198,19.69864155558578,7.666666666666667,3.214550253664318,8.2,4.2661458015403175,11.5,7.367345368433455,8.897728133886693,2.0,0.0,1.8,0.4472135954999588,2.2,1.135292424395095,1.971135106101652,1.6666666666666667,1.1547005383792517,2.2,1.0954451150103324,2.0,1.054092553389459,1.7165165417184216,0.6666666666666666,0.5773502691896258,1.2,1.6431676725154984,1.8,1.932183566158592,1.1043124214736737,1.0,1.0,0.6,0.8944271909999159,0.3,0.6749485577105528,0.9383052192464916,0.3333333333333333,0.5773502691896258,0.2,0.4472135954999579,0.1,0.3162277660168379,0.3521352214958864,-1.1000000000000014,0.572139303482587,7.367345368433455,0.1094527363184079,1.135292424395095,0.099502487562189,1.054092553389459,0.0895522388059701,1.932183566158592,0.0149253731343283,0.6749485577105528,0.0049751243781094,0.3162277660168379,5.195083145522198,17.703703703703702,8.518518518518519,1.8148148148148149,1.7777777777777777,1.2962962962962965,0.925925925925926,0.1111111111111111,78.92,101.80040923296151,96.08962076354508,76.6,94.5,37.4,20.9,9.4,6.4,3.5,68.4,24.5,17.2,6.5,9.3,4.2,76.6,2026-07-06,2,81.6,31.9,17.2,8.1,5.7,2.9
