player_name,player_key,team,opponent,stat,line,sportsbook,over_odds,under_odds,mean,median,floor,ceiling,stddev,p10,p50,p90,over_hit_rate,under_hit_rate,projected_minutes,confidence,confidence_label,model_projection,line_delta
Allisha Gray,allisha gray,ATL,WAS,points,18.0,prizepicks,,,18.456830160953256,18.11236115816462,13.50391442241076,23.839650479015773,4.088037117637664,13.50391442241076,18.11236115816462,23.839650479015773,0.5107,0.4893,31.543843719073564,medium,Medium,17.516176188393253,0.4568301609532561
Allisha Gray,allisha gray,ATL,WAS,pra,23.5,prizepicks,,,26.17241247108985,25.799490529114337,19.329589075408713,33.61064702127574,5.579345372306032,19.329589075408713,25.799490529114337,33.61064702127574,0.6623,0.3377,31.543843719073564,medium,Medium,25.20916838464802,2.6724124710898494
Allisha Gray,allisha gray,ATL,WAS,pr,20.5,prizepicks,,,24.188946435389372,23.844709972236554,17.835290130838857,31.122341333296095,5.213161671166838,17.835290130838857,23.844709972236554,31.122341333296095,0.7443,0.2557,31.543843719073564,medium,Medium,23.455047052359014,3.688946435389372
Allisha Gray,allisha gray,ATL,WAS,pa,20.5,prizepicks,,,22.3726736575142,22.03020787241995,16.29460420824984,28.81027587202092,4.91051213798544,16.29460420824984,22.03020787241995,28.81027587202092,0.6269,0.3731,31.543843719073564,medium,Medium,21.121463736113043,1.8726736575141985
Alyssa Thomas,alyssa thomas,PHX,CON,points,15.0,prizepicks,,,16.502074460069206,15.611517588930761,8.985635352016025,25.2121317660508,6.530276661774902,8.985635352016025,15.611517588930761,25.2121317660508,0.537,0.463,33.05013216561086,medium,Medium,17.568236080705567,1.5020744600692062
Alyssa Thomas,alyssa thomas,PHX,CON,rebounds,8.0,prizepicks,,,8.209240405196915,7.937777567387304,5.247564807390129,11.558038132054286,2.4826054498406203,5.247564807390129,7.937777567387304,11.558038132054286,0.4898,0.5102,33.05013216561086,medium,Medium,8.521313427734064,0.20924040519691545
Alyssa Thomas,alyssa thomas,PHX,CON,assists,8.5,prizepicks,,,8.2142,8.0,4.0,13.0,3.9736530246109814,4.0,8.0,13.0,0.4216,0.5784,33.05013216561086,medium,Medium,8.465463528267986,-0.28580000000000005
Alyssa Thomas,alyssa thomas,PHX,CON,pra,32.0,prizepicks,,,29.74386679855725,29.006933024881427,20.60590200912367,39.6967864266885,7.567080229488184,20.60590200912367,29.006933024881427,39.6967864266885,0.3483,0.6517,33.05013216561086,medium,Medium,31.208942707243324,-2.2561332014427506
Alyssa Thomas,alyssa thomas,PHX,CON,pr,23.5,prizepicks,,,21.592021473304346,20.959076518417803,14.219423082801011,29.749036380599723,6.255596127527503,14.219423082801011,20.959076518417803,29.749036380599723,0.3376,0.6624,33.05013216561086,medium,Medium,22.796015156338203,-1.9079785266956542
Alyssa Thomas,alyssa thomas,PHX,CON,pa,24.0,prizepicks,,,22.24188880744078,21.408693773066105,13.923775075032994,31.481734572579295,6.989924032476963,13.923775075032994,21.408693773066105,31.481734572579295,0.3618,0.6382,33.05013216561086,medium,Medium,23.4228380412278,-1.7581111925592197
Alyssa Thomas,alyssa thomas,PHX,CON,ra,16.5,prizepicks,,,16.423440405196917,15.923084643798452,10.650782854933542,22.813808742726337,4.85749887447446,10.650782854933542,15.923084643798452,22.813808742726337,0.4485,0.5515,33.05013216561086,medium,Medium,,-0.07655959480308283
Angel Reese,angel reese,ATL,WAS,points,15.5,prizepicks,,,13.813534281642177,12.321398672262973,5.434930020540303,23.988726423565055,7.693736485569257,5.434930020540303,12.321398672262973,23.988726423565055,0.3427,0.6573,31.032913245209404,low,Low,14.243545690384007,-1.686465718357823
Angel Reese,angel reese,ATL,WAS,rebounds,11.0,prizepicks,,,8.745858730843688,8.375133168959287,4.771221599466308,13.223322552557718,3.3455224828745047,4.771221599466308,8.375133168959287,13.223322552557718,0.2335,0.7665,31.032913245209404,low,Low,8.828148312256658,-2.254141269156312
Angel Reese,angel reese,ATL,WAS,pra,29.0,prizepicks,,,28.72148522853004,27.336074778593122,15.544512210375425,43.56132912050337,11.389407957000536,15.544512210375425,27.336074778593122,43.56132912050337,0.4419,0.5581,31.032913245209404,low,Low,29.40447056319398,-0.2785147714699612
Angel Reese,angel reese,ATL,WAS,pr,26.5,prizepicks,,,27.28573735329113,25.78365702368449,14.397796450266215,41.95047935386799,11.178018505498033,14.397796450266215,25.78365702368449,41.95047935386799,0.4762,0.5238,31.032913245209404,low,Low,27.89937070569127,0.7857373532911289
Angel Reese,angel reese,ATL,WAS,pa,17.5,prizepicks,,,18.346792545580985,16.719151204006806,8.026485478443451,30.557994145644905,9.354105510495735,8.026485478443451,16.719151204006806,30.557994145644905,0.4682,0.5318,31.032913245209404,low,Low,18.928109020457345,0.8467925455809855
Angel Reese,angel reese,ATL,WAS,ra,13.5,prizepicks,,,10.715158730843688,10.365029046195769,5.8707932374543885,16.017794644192538,3.963807952581379,5.8707932374543885,10.365029046195769,16.017794644192538,0.2308,0.7692,31.032913245209404,low,Low,,-2.7848412691563116
Arike Ogunbowale,arike ogunbowale,DAL,GSV,points,14.5,prizepicks,,,13.716354549642269,12.431116058242463,5.841205843934178,23.241579614272272,7.1462124188558755,5.841205843934178,12.431116058242463,23.241579614272272,0.3882,0.6118,33.30126899935487,medium,Medium,11.45387192420759,-0.7836454503577315
Arike Ogunbowale,arike ogunbowale,DAL,GSV,threes_made,1.5,prizepicks,,,1.4433,1.0,0.0,3.0,1.220567536025762,0.0,1.0,3.0,0.4203,0.5797,33.30126899935487,medium,Medium,1.2563209917942473,-0.05669999999999997
Arike Ogunbowale,arike ogunbowale,DAL,GSV,pra,21.0,prizepicks,,,25.785307859590098,24.412752565127875,13.773350005408103,39.547099650817295,10.444502384138753,13.773350005408103,24.412752565127875,39.547099650817295,0.6344,0.3656,33.30126899935487,medium,Medium,22.33623559030739,4.785307859590098
Arike Ogunbowale,arike ogunbowale,DAL,GSV,pr,17.5,prizepicks,,,20.869180844984438,19.334042683432955,10.510081363761367,32.936224320234466,9.23332646620634,10.510081363761367,19.334042683432955,32.936224320234466,0.5887,0.4113,33.30126899935487,medium,Medium,17.89113159233922,3.369180844984438
Arike Ogunbowale,arike ogunbowale,DAL,GSV,pa,17.5,prizepicks,,,22.651807530828115,21.021866084390382,10.805217975662869,36.519520803016896,10.507485521061355,10.805217975662869,21.021866084390382,36.519520803016896,0.644,0.356,33.30126899935487,medium,Medium,19.236592799589072,5.1518075308281155
Azzi Fudd,azzi fudd,DAL,GSV,points,12.5,prizepicks,,,10.152234240457403,9.376788143513938,4.860783194435107,16.437076290475847,4.6574891229011275,4.860783194435107,9.376788143513938,16.437076290475847,0.2631,0.7369,30.644783069018203,medium,Medium,9.701659075165576,-2.3477657595425967
Azzi Fudd,azzi fudd,DAL,GSV,pra,16.0,prizepicks,,,17.754116104099417,16.88501791838511,10.088863697696764,26.65286256948093,6.593261167121704,10.088863697696764,16.88501791838511,26.65286256948093,0.5536,0.4464,30.644783069018203,medium,Medium,17.32188238902367,1.7541161040994169
Azzi Fudd,azzi fudd,DAL,GSV,pr,14.5,prizepicks,,,15.626124439456085,14.706714395524951,8.33957383143513,24.04960212407535,6.323869469882347,8.33957383143513,14.706714395524951,24.04960212407535,0.5165,0.4835,30.644783069018203,medium,Medium,15.388538158602234,1.1261244394560848
Azzi Fudd,azzi fudd,DAL,GSV,pa,14.5,prizepicks,,,14.893454053766446,13.997399893189693,7.874402550659104,23.15523336344683,6.120770313921605,7.874402550659104,13.997399893189693,23.15523336344683,0.4643,0.5357,30.644783069018203,medium,Medium,14.1351817539047,0.3934540537664457
Brionna Jones,brionna jones,ATL,WAS,rebounds,5.5,prizepicks,,,5.865262324586217,5.079272830045467,1.7647679623908936,10.997356568673197,3.843580294602144,1.7647679623908936,5.079272830045467,10.997356568673197,0.4516,0.5484,15.398960556880331,low,Low,5.188285601037355,0.365262324586217
Brionna Jones,brionna jones,ATL,WAS,pra,18.0,prizepicks,,,17.387310244136042,15.875591101440477,5.924382081821853,30.71009176021695,9.96695381545196,5.924382081821853,15.875591101440477,30.71009176021695,0.4123,0.5877,15.398960556880331,low,Low,15.830326754021874,-0.6126897558639577
Brionna Jones,brionna jones,ATL,WAS,pr,15.5,prizepicks,,,18.510497708298246,16.85456639181493,6.230436871956551,32.89053520802835,10.765009713750535,6.230436871956551,16.85456639181493,32.89053520802835,0.5538,0.4462,15.398960556880331,low,Low,16.890537829361655,3.010497708298246
Brionna Jones,brionna jones,ATL,WAS,pa,12.5,prizepicks,,,9.583889942845417,8.440166817066025,2.78005807039636,17.843000445781378,6.250911690574667,2.78005807039636,8.440166817066025,17.843000445781378,0.2581,0.7419,15.398960556880331,low,Low,8.872429731168603,-2.916110057154583
Brionna Jones,brionna jones,ATL,WAS,ra,7.5,prizepicks,,,7.165662324586217,6.3219334186586895,2.1515783334655016,13.314697206026464,4.594639519714955,2.1515783334655016,6.3219334186586895,13.314697206026464,0.3922,0.6078,15.398960556880331,low,Low,,-0.33433767541378323
DeWanna Bonner,dewanna bonner,PHX,CON,points,10.0,prizepicks,,,13.074653027857748,11.763710922681248,5.193916139757111,22.530547619284647,7.194274409930849,5.193916139757111,11.763710922681248,22.530547619284647,0.6065,0.3935,29.69155342993184,medium,Medium,13.522611937416283,3.0746530278577477
DeWanna Bonner,dewanna bonner,PHX,CON,rebounds,6.5,prizepicks,,,7.196542226394597,6.969111999918834,4.95548095583805,9.70907076217984,1.9043703944865153,4.95548095583805,6.969111999918834,9.70907076217984,0.6077,0.3923,29.69155342993184,medium,Medium,7.091143899601475,0.6965422263945973
DeWanna Bonner,dewanna bonner,PHX,CON,pr,17.0,prizepicks,,,18.283851646098466,17.217590670585032,10.676596991731092,27.37604617840857,6.838286653535323,10.676596991731092,17.217590670585032,27.37604617840857,0.5123,0.4877,29.69155342993184,medium,Medium,18.584579075366545,1.2838516460984657
Diamond Miller,diamond miller,CON,PHX,points,11.5,prizepicks,,,13.17352775698703,12.63246761516108,8.032208833613014,19.019724135731856,4.392640849512441,8.032208833613014,12.63246761516108,19.019724135731856,0.6084,0.3916,27.119496888824795,medium,Medium,12.331681520227885,1.6735277569870295
Diamond Miller,diamond miller,CON,PHX,pr,14.5,prizepicks,,,12.807563103888722,12.427883342394313,8.333977360396254,17.799327621721982,3.7584973121518273,8.333977360396254,12.427883342394313,17.799327621721982,0.2941,0.7059,27.119496888824795,medium,Medium,12.188957513150907,-1.6924368961112783
Gabby Williams,gabby williams,GSV,DAL,points,13.5,prizepicks,,,10.598318339624289,9.267556014240167,3.532620139802533,19.34449898488069,6.661119525378039,3.532620139802533,9.267556014240167,19.34449898488069,0.2672,0.7328,28.201435532690432,low,Low,8.651075827609322,-2.9016816603757114
