rows,graded_predictions,wins,losses,pushes,accuracy,brier,log_loss,plays_retained_at_56,window_days,projection_mae,projection_rmse,minutes_mae,minutes_rmse
254,247,148,99,7,0.5991902834008097,0.33174824214574894,1.200381863386358,254,7,1.927650103519669,3.1909838205906373,5.282919254658385,6.941829058917384
467,457,266,191,10,0.5820568927789934,0.3440403145733085,1.2329360867437391,467,14,1.988640350877193,3.3050924456906503,5.472730263157895,7.103222744308612
941,919,523,396,22,0.5690968443960827,0.35620824719260824,1.2689748443701034,941,30,2.00234693877551,3.3728527476894645,5.613350340136055,7.225016241772578
