rows,graded_predictions,wins,losses,pushes,accuracy,brier,log_loss,plays_retained_at_56,dimension,segment,projection_mae,projection_rmse
122,119.0,53.0,66.0,3.0,0.44537815126050423,0.49331022327731094,1.9290262146148374,122.0,minutes_bucket,10-18,,
109,108.0,66.0,42.0,1.0,0.6111111111111112,0.29405856370370365,0.8551293715372119,109.0,minutes_bucket,18-24,,
20,18.0,10.0,8.0,2.0,0.5555555555555556,0.3399912544445,1.165360928270755,20.0,minutes_bucket,35+,,
15,15.0,13.0,2.0,0.0,0.8666666666666667,0.12012651266666666,0.4082499954326784,15.0,minutes_bucket,<10,,
588,,,,,,,,,minutes_projection,all,5.613350340136055,7.225016241772578
40,40.0,22.0,18.0,0.0,0.55,0.4037703562500001,1.4271432267597288,40.0,player,Gabby Williams,,
34,34.0,22.0,12.0,0.0,0.6470588235294118,0.34614756823529413,1.6897062943476246,34.0,player,Alyssa Thomas,,
31,31.0,19.0,12.0,0.0,0.6129032258064516,0.32867267806454836,1.0228716994467248,31.0,player,Breanna Stewart,,
27,27.0,14.0,13.0,0.0,0.5185185185185185,0.47512921444444445,2.7665801744096683,27.0,player,Chelsea Gray,,
27,26.0,13.0,13.0,1.0,0.5,0.39222995923076925,1.1921701296806246,27.0,player,Flau'jae Johnson,,
26,26.0,18.0,8.0,0.0,0.6923076923076923,0.24359702961538462,0.7541176154842124,26.0,player,Natasha Howard,,
26,25.0,12.0,13.0,1.0,0.48,0.43365098080000003,1.432486824209394,26.0,player,Brittney Sykes,,
26,25.0,16.0,9.0,1.0,0.64,0.3161406712,1.0213900649553644,26.0,player,Kahleah Copper,,
25,25.0,20.0,5.0,0.0,0.8,0.18793553,0.7025947140184755,25.0,player,Bridget Carleton,,
25,25.0,14.0,11.0,0.0,0.56,0.40334473959999995,1.4374735597311825,25.0,player,Carla Leite,,
24,23.0,16.0,7.0,1.0,0.6956521739130435,0.23390584695660868,0.6727577423104951,24.0,player,Jonquel Jones,,
22,22.0,15.0,7.0,0.0,0.6818181818181818,0.19400921909095456,0.5577917247737362,22.0,player,Marina Mabrey,,
21,21.0,9.0,12.0,0.0,0.42857142857142855,0.5172370280952381,1.8626917939144225,21.0,player,Marine Johannes,,
21,21.0,10.0,11.0,0.0,0.47619047619047616,0.4355520195238095,1.3044750613111664,21.0,player,Natasha Mack,,
20,20.0,14.0,6.0,0.0,0.7,0.250198075,0.7695109291691401,20.0,player,Caitlin Clark,,
20,20.0,9.0,11.0,0.0,0.45,0.381314349,1.027976595793642,20.0,player,Jessica Shepard,,
18,17.0,6.0,11.0,1.0,0.35294117647058826,0.5125730529411764,1.4802633351620968,18.0,player,Saniya Rivers,,
17,17.0,9.0,8.0,0.0,0.5294117647058824,0.4364105152941176,1.5922106746575333,17.0,player,Allisha Gray,,
17,17.0,13.0,4.0,0.0,0.7647058823529411,0.22383904,0.8354700667412382,17.0,player,DeWanna Bonner,,
17,17.0,10.0,7.0,0.0,0.5882352941176471,0.4037031476471177,2.0361477641884034,17.0,player,NaLyssa Smith,,
18,16.0,8.0,8.0,2.0,0.5,0.413828608125,1.2852613667039312,18.0,player,Olivia Miles,,
16,16.0,1.0,15.0,0.0,0.0625,0.905347436875,3.9510513424984652,16.0,player,Georgia Amoore,,
16,16.0,6.0,10.0,0.0,0.375,0.5017989006250001,1.441573452515568,16.0,player,Jordin Canada,,
17,14.0,8.0,6.0,3.0,0.5714285714285714,0.32575589928571436,0.940108722283993,17.0,player,Jackie Young,,
14,14.0,4.0,10.0,0.0,0.2857142857142857,0.4166776214285714,1.297874561667568,14.0,player,Veronica Burton,,
14,13.0,10.0,3.0,1.0,0.7692307692307693,0.16981641846153847,0.5150570067886059,14.0,player,Arike Ogunbowale,,
13,13.0,10.0,3.0,0.0,0.7692307692307693,0.1587697792307692,0.4885446904158733,13.0,player,Alanna Smith,,
13,13.0,3.0,10.0,0.0,0.23076923076923078,0.4562281361538461,1.1622565077258418,13.0,player,Courtney Williams,,
13,13.0,7.0,6.0,0.0,0.5384615384615384,0.2742120107692308,0.7293158185180766,13.0,player,Kelsey Mitchell,,
13,13.0,11.0,2.0,0.0,0.8461538461538461,0.13858058230769227,0.46936713482845455,13.0,player,Nia Coffey,,
13,12.0,2.0,10.0,1.0,0.16666666666666666,0.7850726766666667,3.376388430381398,13.0,player,Cameron Brink,,
12,12.0,9.0,3.0,0.0,0.75,0.21633370333333335,0.68507143390821,12.0,player,Jade Melbourne,,
11,11.0,4.0,7.0,0.0,0.36363636363636365,0.42868341545454547,1.1163402655998877,11.0,player,Brittney Griner,,
11,10.0,7.0,3.0,1.0,0.7,0.248932575,0.7159312941280814,11.0,player,Kayla Thornton,,
11,10.0,5.0,5.0,1.0,0.5,0.276132367,0.7490778589992922,11.0,player,Paige Bueckers,,
10,10.0,3.0,7.0,0.0,0.3,0.4638620619999999,1.265717410235244,10.0,player,Chennedy Carter,,
10,10.0,4.0,6.0,0.0,0.4,0.356474222,0.9257897375105495,10.0,player,Kelsey Plum,,
10,9.0,5.0,4.0,1.0,0.5555555555555556,0.30489093777777776,0.9234604820480593,10.0,player,Natisha Hiedeman,,
9,9.0,4.0,5.0,0.0,0.4444444444444444,0.45335489222222225,1.3265383509745505,9.0,player,Nyara Sabally,,
9,9.0,2.0,7.0,0.0,0.2222222222222222,0.710041161111111,2.44450107784855,9.0,player,Rickea Jackson,,
8,8.0,8.0,0.0,0.0,1.0,0.08733839874999999,0.3464519808951709,8.0,player,Dearica Hamby,,
8,8.0,4.0,4.0,0.0,0.5,0.41043061499999994,1.2149292001349097,8.0,player,Dominique Malonga,,
8,8.0,5.0,3.0,0.0,0.625,0.31889004499999996,0.9046431883584336,8.0,player,Kayla McBride,,
8,8.0,2.0,6.0,0.0,0.25,0.619875595,2.447778269800198,8.0,player,Natasha Cloud,,
8,8.0,8.0,0.0,0.0,1.0,0.05829831125000002,0.25708951233403926,8.0,player,Satou Sabally,,
8,8.0,7.0,1.0,0.0,0.875,0.07706186374999999,0.2484129575462257,8.0,player,Sophie Cunningham,,
9,7.0,4.0,3.0,2.0,0.5714285714285714,0.2973070585714286,0.815987791997988,9.0,player,Rhyne Howard,,
8,7.0,4.0,3.0,1.0,0.5714285714285714,0.42456089,2.3222465025826153,8.0,player,Emily Engstler,,
7,7.0,4.0,3.0,0.0,0.5714285714285714,0.3156029014285714,0.878713998677406,7.0,player,A'ja Wilson,,
7,7.0,5.0,2.0,0.0,0.7142857142857143,0.20435914142857142,0.5832395196799165,7.0,player,Aneesah Morrow,,
7,7.0,7.0,0.0,0.0,1.0,0.06494290142857144,0.2935507444184406,7.0,player,Angel Reese,,
7,7.0,3.0,4.0,0.0,0.42857142857142855,0.5634568757142857,2.8704699405882983,7.0,player,Hailey Van Lith,,
7,7.0,5.0,2.0,0.0,0.7142857142857143,0.26457725428571427,1.014989971092133,7.0,player,Kamilla Cardoso,,
7,7.0,5.0,2.0,0.0,0.7142857142857143,0.2741038557142857,1.366549472975522,7.0,player,Sonia Citron,,
6,6.0,4.0,2.0,0.0,0.6666666666666666,0.21813093000000003,0.6119162963547392,6.0,player,Aliyah Boston,,
6,6.0,3.0,3.0,0.0,0.5,0.43177937000000005,1.3163815638502137,6.0,player,Azzi Fudd,,
6,6.0,4.0,2.0,0.0,0.6666666666666666,0.30240657833333334,1.0005452232772356,6.0,player,Erica Wheeler,,
6,6.0,6.0,0.0,0.0,1.0,0.023324824999999993,0.16433380900507974,6.0,player,Monique Billings,,
6,5.0,0.0,5.0,1.0,0.0,0.990075518,5.509379748284819,6.0,player,Megan Gustafson,,
5,5.0,3.0,2.0,0.0,0.6,0.33851593199999996,1.0754198779259116,5.0,player,Kiki Rice,,
5,5.0,3.0,2.0,0.0,0.6,0.254202172,0.7120082088992904,5.0,player,Odyssey Sims,,
5,5.0,4.0,1.0,0.0,0.8,0.177866286,0.5454351110113642,5.0,player,Shakira Austin,,
5,4.0,3.0,1.0,1.0,0.75,0.223532325,0.6432953085703839,5.0,player,Betnijah Laney-Hamilton,,
4,4.0,4.0,0.0,0.0,1.0,0.024309112499999994,0.16820659323802062,4.0,player,Aaliyah Edwards,,
4,4.0,4.0,0.0,0.0,1.0,0.03904392250000001,0.21927715529598482,4.0,player,Gabriela Jaquez,,
4,4.0,2.0,2.0,0.0,0.5,0.3235660025,0.8686443208096188,4.0,player,Jewell Loyd,,
4,4.0,0.0,4.0,0.0,0.0,0.9523218525,3.7859808214853663,4.0,player,Lauren Betts,,
4,4.0,4.0,0.0,0.0,1.0,0.05206295250000001,0.2450518079726653,4.0,player,Nneka Ogwumike,,
4,3.0,2.0,1.0,1.0,0.6666666666666666,0.333133363334,2.703910027769728,4.0,player,Sabrina Ionescu,,
3,3.0,0.0,3.0,0.0,0.0,0.8171612066666666,2.3461539550439654,3.0,player,Monique Akoa Makani,,
3,3.0,3.0,0.0,0.0,1.0,0.006531430000000001,0.0659348046927133,3.0,player,Stefanie Dolson,,
3,2.0,0.0,2.0,1.0,0.0,0.735818305,1.9629925111721012,3.0,player,Kiki Iriafen,,
2,2.0,2.0,0.0,0.0,1.0,0.072228305,0.31282847874192243,2.0,player,Diamond Miller,,
2,2.0,2.0,0.0,0.0,1.0,0.00017505999999999934,0.010988589360134082,2.0,player,Han Xu,,
2,2.0,2.0,0.0,0.0,1.0,0.024876200000000008,0.14436138689680722,2.0,player,Julie Allemand,,
1,1.0,1.0,0.0,0.0,1.0,0.03932289000000001,0.22102080593323115,1.0,player,Ariel Atkins,,
1,1.0,1.0,0.0,0.0,1.0,0.018387360000000016,0.1457196543494062,1.0,player,Kennedy Burke,,
1,1.0,0.0,1.0,0.0,0.0,0.4607694399999999,1.1356912969095303,1.0,player,Kia Nurse,,
1,1.0,0.0,1.0,0.0,0.0,0.9888313599999999,5.184988681241025,1.0,player,Kiah Stokes,,
1,1.0,0.0,1.0,0.0,0.0,0.44662489,1.1035243330291302,1.0,player,Leonie Fiebich,,
1,1.0,0.0,1.0,0.0,0.0,0.61512649,1.5338667255870264,1.0,player,Myisha Hines-Allen,,
1,1.0,0.0,1.0,0.0,0.0,0.47251876000000004,1.1628308609947609,1.0,player,Naz Hillmon,,
1,1.0,1.0,0.0,0.0,1.0,0.040280489999999995,0.22401893435016368,1.0,player,Rae Burrell,,
588,0.0,0.0,0.0,0.0,,,,0.0,projection_error_by_stat,assists,1.5951700680272107,2.123612151836717
588,0.0,0.0,0.0,0.0,,,,0.0,projection_error_by_stat,blocks,0.6561054421768708,0.8666260129135887
588,0.0,0.0,0.0,0.0,,,,0.0,projection_error_by_stat,points,5.712840136054422,7.234812981518667
588,0.0,0.0,0.0,0.0,,,,0.0,projection_error_by_stat,rebounds,2.1820748299319725,2.7808604233002328
588,0.0,0.0,0.0,0.0,,,,0.0,projection_error_by_stat,steals,0.8695238095238095,1.0963205313606934
588,0.0,0.0,0.0,0.0,,,,0.0,projection_error_by_stat,threes_made,0.9983673469387755,1.3108861312027036
617,600.0,340.0,260.0,17.0,0.5666666666666667,0.35750549788334496,1.2858091133688807,617.0,starter_vs_bench_proxy,starter_proxy,,
324,319.0,183.0,136.0,5.0,0.5736677115987461,0.3537682772413793,1.2373116424915256,324.0,starter_vs_bench_proxy,bench_proxy,,
101,100.0,61.0,39.0,1.0,0.61,0.35075873810000013,1.316201949189708,101.0,team,PHX,,
96,93.0,59.0,34.0,3.0,0.6344086021505376,0.3143823223656452,1.0770549178086573,96.0,team,NYL,,
82,79.0,41.0,38.0,3.0,0.5189873417721519,0.41005227632912655,1.8323601036528172,82.0,team,LVA,,
78,76.0,45.0,31.0,2.0,0.5921052631578947,0.30576860789473687,0.9028880622358652,78.0,team,MIN,,
69,67.0,40.0,27.0,2.0,0.5970149253731343,0.2764316164179104,0.7844098954794287,69.0,team,DAL,,
66,65.0,33.0,32.0,1.0,0.5076923076923077,0.391730124,1.3476965316347223,66.0,team,GSV,,
64,62.0,38.0,24.0,2.0,0.6129032258064516,0.3661985574193548,1.5694246952136106,64.0,team,POR,,
62,61.0,33.0,28.0,1.0,0.5409836065573771,0.3501047732786885,1.0919418515089954,62.0,team,TOR,,
60,58.0,34.0,24.0,2.0,0.5862068965517241,0.3248455349999999,0.9904424643480124,60.0,team,SEA,,
54,54.0,38.0,16.0,0.0,0.7037037037037037,0.2083161772222222,0.6120369489302507,54.0,team,IND,,
53,52.0,28.0,24.0,1.0,0.5384615384615384,0.36731603288463466,1.2169208279486392,53.0,team,CON,,
50,48.0,26.0,22.0,2.0,0.5416666666666666,0.3845006177083334,1.2304657776111856,50.0,team,ATL,,
43,42.0,24.0,18.0,1.0,0.5714285714285714,0.375871814047619,1.4279688737781218,43.0,team,LAS,,
35,34.0,10.0,24.0,1.0,0.29411764705882354,0.6639571008823528,2.7817574015925466,35.0,team,WAS,,
28,28.0,13.0,15.0,0.0,0.4642857142857143,0.4770568457142858,1.7701705099238365,28.0,team,CHI,,
