bet_date,player_name,team,opponent,stat,line,side,sportsbook,odds,hit_rate,edge,projection_mean,projection_median,floor,ceiling,projected_minutes,confidence,actual_value,bet_result,confidence_score,line_delta,bet_quality_score,date,player,matchup,raw_stat,bet,projection,abs_edge,stddev,model_confidence,bet_confidence,confidence_label,result,actual,empty_state_reason,candidate_count,qualified_count,won_flag,lost_flag,result_binary,baseline_confidence_bucket,minutes_bucket,line_bucket,starter_proxy,confidence_label_norm,minutes_abs_error,player_stat_support,shadow_hit_rate
2026-05-29,Cameron Brink,LAS,WAS,pra,16.5,under,prizepicks,,0.9919,0.4919,7.06955276051962,6.6768740553074615,3.707859981799305,10.888271544481997,12.818601808161564,medium,19.0,loss,2.0,-9.43044723948038,75.30250529372523,2026-05-29,Cameron Brink,LAS vs WAS,pra,UNDER PRA,7.06955276051962,9.43044723948038,2.932779927160655,MEDIUM,49.19,Medium,,,,,,0,1,0.0,90+,10-18,12-18,bench_proxy,medium,4.18,3,0.64
2026-05-29,Marine Johannes,NYL,PHX,pra,20.5,under,prizepicks,,0.9841,0.4841,8.297561992680688,7.449701598953215,3.3921831958057163,14.216122263588028,14.368052097923798,low,9.0,win,1.0,-12.202438007319312,75.14597957025703,2026-05-29,Marine Johannes,NYL vs PHX,pra,UNDER PRA,8.297561992680688,12.202438007319312,4.455207713269612,LOW,48.41,Low,,,,,,1,0,1.0,90+,10-18,18-24,bench_proxy,low,4.630000000000001,8,0.62
2026-05-29,Cameron Brink,LAS,WAS,pr,15.5,under,prizepicks,,0.9918,0.4918,6.5348574020422125,6.150478574867276,3.2717994101239465,10.29272218541977,12.818601808161564,medium,18.0,loss,2.0,-8.965142597957787,74.82470065220264,2026-05-29,Cameron Brink,LAS vs WAS,pr,UNDER PR,6.5348574020422125,8.965142597957787,2.8621322912658185,MEDIUM,49.18,Medium,,,,,,0,1,0.0,90+,10-18,12-16,bench_proxy,medium,4.18,4,0.64
2026-05-29,Alyssa Thomas,PHX,NYL,pra,32.5,under,prizepicks,,0.9884,0.4883999999999999,21.97421575771101,21.738150088462447,16.599319886242174,27.69893210691043,30.01645850496508,low,26.0,win,1.0,-10.525784242288989,74.47627799743793,2026-05-29,Alyssa Thomas,PHX vs NYL,pra,UNDER PRA,21.97421575771101,10.525784242288989,4.339917900145856,LOW,48.84,Low,,,,,,1,0,1.0,90+,30-35,30-36,starter_proxy,low,5.98,17,0.62
2026-05-29,Megan Gustafson,POR,ATL,points,10.0,under,prizepicks,,0.9955,0.4955,2.2646997456209723,1.8077214354668203,0.2832854364697157,4.823099774971036,11.996834934211588,medium,10.0,push,2.0,-7.735300254379028,74.03270530240538,2026-05-29,Megan Gustafson,POR vs ATL,points,UNDER PTS,2.2646997456209723,7.735300254379028,1.917754205898567,MEDIUM,49.55,Medium,,,,,,0,0,,90+,10-18,8-12,bench_proxy,medium,6.0,2,0.64
2026-05-29,Marine Johannes,NYL,PHX,pa,17.5,under,prizepicks,,0.977,0.477,6.822010893119752,5.988148467840066,2.249873146971612,12.35883174331076,14.368052097923798,low,7.0,win,1.0,-10.677989106880249,72.73403066981795,2026-05-29,Marine Johannes,NYL vs PHX,pa,UNDER PA,6.822010893119752,10.677989106880249,4.20845870978858,LOW,47.7,Low,,,,,,1,0,1.0,90+,10-18,16-22,bench_proxy,low,4.630000000000001,7,0.62
2026-05-29,Alyssa Thomas,PHX,NYL,pa,24.5,under,prizepicks,,0.9861,0.4861,15.517671003925486,15.313482124157424,10.99017550156934,20.356353123981435,30.01645850496508,low,23.0,win,1.0,-8.982328996074514,72.64532275122346,2026-05-29,Alyssa Thomas,PHX vs NYL,pa,UNDER PA,15.517671003925486,8.982328996074514,3.67433847963635,LOW,48.61,Low,,,,,,1,0,1.0,90+,30-35,22-28,starter_proxy,low,5.98,7,0.62
2026-05-29,Natasha Howard,MIN,CHI,pr,24.5,under,prizepicks,,0.9794,0.4794,14.787437652293574,14.466659837461734,9.657770824615469,20.43794713799588,23.895906298699305,low,21.0,win,1.0,-9.712562347706426,72.35443953666741,2026-05-29,Natasha Howard,MIN vs CHI,pr,UNDER PR,14.787437652293574,9.712562347706426,4.256457504494319,LOW,47.940000000000005,Low,,,,,,1,0,1.0,90+,18-24,22-28,bench_proxy,low,5.100000000000001,11,0.62
2026-05-29,Natasha Mack,PHX,NYL,points,8.5,under,prizepicks,,0.8993,0.3993,4.775212689205819,4.329571404524611,1.5531312831877644,8.510557293870768,18.59792698089274,low,6.0,win,1.0,-3.7247873107941807,56.19522512022097,2026-05-29,Natasha Mack,PHX vs NYL,points,UNDER PTS,4.775212689205819,3.7247873107941807,2.834856313384788,LOW,39.93,Low,,,,,,1,0,1.0,80-90,18-24,8-12,bench_proxy,low,9.4,5,0.62
2026-05-29,Satou Sabally,NYL,PHX,ra,7.5,under,prizepicks,,0.8462,0.3461999999999999,5.8636044412342,5.761291031772839,3.86061430548151,8.008644162292955,24.9861668581242,medium,4.0,win,2.0,-1.6363955587658,49.66098056450952,2026-05-29,Satou Sabally,NYL vs PHX,ra,UNDER RA,5.8636044412342,1.6363955587658,1.625613524290285,MEDIUM,34.62,Medium,,,,,,1,0,1.0,80-90,24-30,-inf-8,bench_proxy,medium,14.989999999999998,1,0.64
