target,train_rows,valid_rows,mae,rmse,r2,ridge_mae,tree_mae
blocks,14888,3633,0.4298369187983293,0.6385330708992054,0.27800907857827706,0.4321503995065887,0.4295650787579075
steals,14888,3633,0.6211916186215911,0.8581586335175747,0.23648827523243876,0.6177603498926499,0.6268918175717385
threes_made,14888,3633,0.6536759599747926,0.9726936224237951,0.36340954020771365,0.6636348659491591,0.6506364845431133
assists,14888,3633,1.0294198972867625,1.4539922989782148,0.5866244227126212,1.0365694044798648,1.0351256288910167
rebounds,14888,3633,1.3887466793711634,1.8816859884234418,0.6380342848455913,1.4212567207493978,1.3824661089947001
points,14888,3633,3.178343075897967,4.398777714161593,0.6664670022271513,3.2189428595616922,3.1925543974840456
