rows,graded_predictions,wins,losses,pushes,accuracy,brier,log_loss,plays_retained_at_56,window_days,projection_mae,projection_rmse,minutes_mae,minutes_rmse,min_prior_train_rows,max_prior_train_rows,fallback_rows_due_to_thin_prior,test_rows,baseline_accuracy,shadow_accuracy,baseline_brier,shadow_brier,baseline_log_loss,shadow_log_loss,baseline_plays_retained_at_56,shadow_plays_retained_at_56,coverage_ratio_at_56,brier_delta,log_loss_delta
254,247,148,99,7,0.5991902834008097,0.33174824214574894,1.200381863386358,254,7,1.927650103519669,3.1909838205906373,5.282919254658385,6.941829058917384,672,877,0,254,0.5991902834008097,0.5991902834008097,0.33174824214574894,0.24323202456830179,1.200381863386358,0.6803697024864304,254,253,0.9960629921259843,-0.08851621757744715,-0.5200121608999277
467,457,266,191,10,0.5820568927789934,0.3440403145733085,1.2329360867437391,467,14,1.988640350877193,3.3050924456906503,5.472730263157895,7.103222744308612,462,877,0,467,0.5820568927789934,0.5820568927789934,0.3440403145733085,0.2498575169846197,1.2329360867437391,0.6953679617120352,467,462,0.9892933618843683,-0.09418279758868883,-0.5375681250317039
941,919,523,396,22,0.5690968443960827,0.35620824719260824,1.2689748443701034,941,30,2.00234693877551,3.3728527476894645,5.613350340136055,7.225016241772578,0,877,134,941,0.5690968443960827,0.5690968443960827,0.35620824719260824,0.27469283500539243,1.2689748443701034,0.8176314721110903,941,933,0.9914984059511158,-0.08151541218721581,-0.4513433722590131
