window_days,graded_predictions,wins,losses,accuracy,brier,log_loss,projection_mae,projection_rmse,primary_failure_source
7,2124,119,138,0.46303501945525294,0.2798581420154893,0.7564418417871466,1.5733615819209041,2.719402473279026,bet_grading_backtest_available
14,3174,261,232,0.5294117647058824,0.2952093035411878,0.8965502239211194,1.6727473219911784,2.8585968021703763,bet_grading_backtest_available
30,4998,547,432,0.5587334014300307,0.31481036853504146,1.0360068631265613,1.7798099239695877,3.030172357772264,bet_grading_backtest_available
