DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,STDDEV,HIT_RATE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL
2026-04-21,Marcus Smart,LAL,LAL vs. HOU,PTS,Points,UNDER PTS,11.5,6.28,-5.22,5.22,3.89,0.7632,HIGH,26.32,High,PENDING,
2026-04-21,Keldon Johnson,SAS,SAS vs. POR,PTS,Points,OVER PTS,10.0,19.44,9.44,9.44,5.93,0.647,MEDIUM,14.7,Medium,PENDING,
2026-04-21,Payton Pritchard,BOS,BOS vs. PHI,PTS,Points,OVER PTS,13.5,21.42,7.92,7.92,6.15,0.616,MEDIUM,11.6,Medium,PENDING,
2026-04-21,Dylan Harper,SAS,SAS vs. POR,PTS,Points,OVER PTS,8.5,13.7,5.2,5.2,5.39,0.5857,MEDIUM,8.57,Medium,PENDING,
2026-04-21,Jaxson Hayes,LAL,LAL vs. HOU,PTS,Points,OVER PTS,5.5,11.69,6.19,6.19,7.41,0.5761,LOW,7.61,Low,PENDING,
2026-04-21,Tari Eason,HOU,HOU @ LAL,PTS,Points,OVER PTS,7.5,12.33,4.83,4.83,8.35,0.5464,LOW,4.64,Low,PENDING,
2026-04-21,Jaylen Brown,BOS,BOS vs. PHI,PTS,Points,OVER PTS,26.5,31.55,5.05,5.05,9.15,0.5421,LOW,4.21,Low,PENDING,
