DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,STDDEV,HIT_RATE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL
2026-05-26,Jalen Williams,OKC,OKC vs. SAS,PTS,Points,UNDER PTS,14.5,7.78,-6.72,6.72,6.83,0.7322,HIGH,23.22,High,,
2026-05-26,De'Aaron Fox,SAS,SAS @ OKC,PTS,Points,OVER PTS,14.0,17.66,3.66,3.66,5.92,0.5471,LOW,4.71,Low,,
2026-05-26,Keldon Johnson,SAS,SAS @ OKC,PTS,Points,OVER PTS,5.5,8.47,2.97,2.97,5.76,0.5362,LOW,3.62,Low,,
2026-05-26,Dylan Harper,SAS,SAS @ OKC,PTS,Points,OVER PTS,9.0,12.14,3.14,3.14,8.14,0.5141,LOW,1.41,Low,,
2026-05-26,Alex Caruso,OKC,OKC vs. SAS,PTS,Points,OVER PTS,8.5,12.01,3.51,3.51,10.49,0.505,LOW,0.8,Low,,
2026-05-26,Jaylin Williams,OKC,OKC vs. SAS,PTS,Points,OVER PTS,6.0,8.5,2.5,2.5,7.62,0.5039,LOW,0.72,Low,,
2026-05-26,Luke Kornet,SAS,SAS @ OKC,PTS,Points,OVER PTS,3.5,4.3,0.8,0.8,2.68,0.4985,LOW,0.8,Low,,
