date,LOSS,WIN,wins,losses,total,win_pct
2026-03-27,0,2,2,0,2,1.0
2026-03-28,6,9,9,6,15,0.6
2026-03-29,5,1,1,5,6,0.167
2026-03-30,4,2,2,4,6,0.333
2026-03-31,2,5,5,2,7,0.714
2026-04-01,1,6,6,1,7,0.857
2026-04-02,5,2,2,5,7,0.286
2026-04-03,5,2,2,5,7,0.286
2026-04-04,2,4,4,2,6,0.667
2026-04-05,2,3,3,2,5,0.6
2026-04-06,2,5,5,2,7,0.714
2026-04-07,3,4,4,3,7,0.571
2026-04-10,5,2,2,5,7,0.286
2026-04-12,1,2,2,1,3,0.667
