DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,STDDEV,HIT_RATE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL,bet_date,player_name,team,opponent,stat,line,side,sportsbook,odds,hit_rate,edge,projection_mean,projection_median,floor,ceiling,projected_minutes,confidence,confidence_score,line_delta,actual_value,bet_result,bet_quality_score
2026-06-06,Caitlin Clark,IND,IND vs NYL,PR,pr,OVER PR,23.0,29.85147332892385,6.851473328923852,6.851473328923852,3.9023417737791055,0.79644486752,MEDIUM,29.644486752,Medium,,,2026-06-06,Caitlin Clark,IND,NYL,pr,23.0,over,prizepicks,,0.79644486752,0.29644486752,29.85147332892385,29.737699563818,24.92045056032331,34.92871103568674,34.13516967563376,medium,2,6.851473328923852,,,48.93113685919287
2026-06-06,Breanna Stewart,NYL,NYL vs IND,PR,pr,UNDER PR,27.5,19.516011715580987,-7.983988284419013,7.983988284419013,5.943308606647494,0.7738337294400001,MEDIUM,27.383372944000005,Medium,,,2026-06-06,Breanna Stewart,NYL,IND,pr,27.5,under,prizepicks,,0.7738337294400001,0.27383372944000006,19.516011715580987,18.987637690131933,12.315266280511326,27.28995667686631,28.15628282995908,medium,2,-7.983988284419013,,,47.0578929493178
2026-06-06,Caitlin Clark,IND,IND vs NYL,REB,rebounds,OVER REB,4.0,5.777601709520495,1.7776017095204946,1.7776017095204946,0.9739514440435948,0.82,MEDIUM,31.999999999999996,Medium,,,2026-06-06,Caitlin Clark,IND,NYL,rebounds,4.0,over,prizepicks,,0.82,0.31999999999999995,5.777601709520495,5.73915163952489,4.552994762462694,7.039305870193313,34.13516967563376,medium,2,1.7776017095204946,,,46.801656799789505
2026-06-06,Breanna Stewart,NYL,NYL vs IND,PRA,pra,UNDER PRA,30.0,22.12976017506188,-7.870239824938118,7.870239824938118,6.267595951457587,0.77147647968,MEDIUM,27.147647968,Medium,,,2026-06-06,Breanna Stewart,NYL,IND,pra,30.0,under,prizepicks,,0.77147647968,0.27147647968,22.12976017506188,21.65827535249945,14.468701579874384,30.30902803635228,28.15628282995908,medium,2,-7.870239824938118,,,46.649488269836894
2026-06-06,Sophie Cunningham,IND,IND vs NYL,PRA,pra,UNDER PRA,12.5,8.411280660121323,-4.088719339878677,4.088719339878677,3.5622323198976718,0.76242594288,MEDIUM,26.242594288,Medium,,,2026-06-06,Sophie Cunningham,IND,NYL,pra,12.5,under,prizepicks,,0.76242594288,0.26242594288,8.411280660121323,7.9717666465880495,4.224361700465039,13.09467627907886,26.92478085541016,medium,2,-4.088719339878677,,,41.69970562554098
2026-06-06,Sophie Cunningham,IND,IND vs NYL,PTS,points,UNDER PTS,8.5,5.542540735037221,-2.957459264962779,2.957459264962779,3.235012321168655,0.71789236032,MEDIUM,21.789236032000005,Medium,,,2026-06-06,Sophie Cunningham,IND,NYL,points,8.5,under,prizepicks,,0.71789236032,0.21789236032000003,5.542540735037221,5.060013758423012,1.782033934189419,9.872563177353642,26.92478085541016,medium,2,-2.957459264962779,,,35.00174773062509
2026-06-06,Aliyah Boston,IND,IND vs NYL,PA,pa,OVER PA,16.5,18.771386430549267,2.271386430549267,2.271386430549267,3.2438337581711227,0.689584976,MEDIUM,18.9584976,Medium,,,2026-06-06,Aliyah Boston,IND,NYL,pa,16.5,over,prizepicks,,0.689584976,0.18958497600000002,18.771386430549267,18.65954868592231,14.714689795168429,22.97484097213229,28.78758980148654,medium,2,2.271386430549267,,,30.833136124593864
2026-06-06,Aliyah Boston,IND,IND vs NYL,REB,rebounds,OVER REB,7.5,8.34405603933277,0.8440560393327701,0.8440560393327701,1.0184608524094978,0.7,MEDIUM,19.999999999999996,Medium,,,2026-06-06,Aliyah Boston,IND,NYL,rebounds,7.5,over,prizepicks,,0.7,0.19999999999999996,8.34405603933277,8.30810025140858,7.057524746897015,9.658445934551514,28.78758980148654,medium,2,0.8440560393327701,,,30.707683733377362
2026-06-06,Kelsey Mitchell,IND,IND vs NYL,STL,steals,OVER STL,0.5,0.9299086839973963,0.4299086839973963,0.4299086839973963,0.3882127090254316,0.7,MEDIUM,19.999999999999996,Medium,,,2026-06-06,Kelsey Mitchell,IND,NYL,steals,0.5,over,prizepicks,,0.7,0.19999999999999996,0.9299086839973963,0.8913525202870289,0.4661230134224754,1.4391296981750898,30.580127946271997,medium,2,0.4299086839973963,,,30.347312522385554
2026-06-06,Marine Johannes,NYL,NYL vs IND,PRA,pra,UNDER PRA,16.0,8.146374837159886,-7.853625162840114,7.853625162840114,4.445826117316355,0.62,LOW,12.0,Low,,,2026-06-06,Marine Johannes,NYL,IND,pra,16.0,under,prizepicks,,0.62,0.12,8.146374837159886,7.332082123005788,3.1874916870610988,14.13679987511076,13.943670974023815,low,1,-7.853625162840114,,,25.271935292060828
2026-06-06,Jonquel Jones,NYL,NYL vs IND,PRA,pra,UNDER PRA,26.5,19.14624948827113,-7.353750511728865,7.353750511728865,5.995019353884294,0.62,LOW,12.0,Low,,,2026-06-06,Jonquel Jones,NYL,IND,pra,26.5,under,prizepicks,,0.62,0.12,19.14624948827113,18.49408396806696,11.92867038521387,27.227423760873524,24.15097252587824,low,1,-7.353750511728865,,,25.078279687505212
2026-06-06,Leonie Fiebich,NYL,NYL vs IND,PTS,points,UNDER PTS,8.5,7.2007690999596266,-1.2992309000403734,1.2992309000403734,3.629503246149901,0.649458624,MEDIUM,14.9458624,Medium,,,2026-06-06,Leonie Fiebich,NYL,IND,points,8.5,under,prizepicks,,0.649458624,0.14945862399999998,7.2007690999596266,6.766929495894527,2.9378988995407176,11.939992257401377,25.13496182958686,medium,2,-1.2992309000403734,,,24.73560775492798
2026-06-06,Jonquel Jones,NYL,NYL vs IND,PR,pr,UNDER PR,23.5,17.04564609257957,-6.45435390742043,6.45435390742043,5.829286786886143,0.62,LOW,12.0,Low,,,2026-06-06,Jonquel Jones,NYL,IND,pr,23.5,under,prizepicks,,0.62,0.12,17.04564609257957,16.39211743536248,10.075607927088614,24.941585168997754,24.15097252587824,low,1,-6.45435390742043,,,24.178883083196776
2026-06-06,Marine Johannes,NYL,NYL vs IND,PA,pa,UNDER PA,13.5,6.74571070397887,-6.75428929602113,6.75428929602113,4.221167734029804,0.62,LOW,12.0,Low,,,2026-06-06,Marine Johannes,NYL,IND,pa,13.5,under,prizepicks,,0.62,0.12,6.74571070397887,5.931550079338329,2.098906978167313,12.394318978943636,13.943670974023815,low,1,-6.75428929602113,,,24.172599425241845
