fight_id,event_name,event_date,fighter_red,fighter_blue,source,projection_player,projection_opponent,market_type,market_label,selection,line,probability
b666ed543692,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cory Sandhagen,Mario Bautista,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.3150500681713472
b666ed543692,UFC 329: McGregor vs. Holloway 2,2026-07-11,Cory Sandhagen,Mario Bautista,simulation,,,total_rounds,Over 2.5 rounds,over,2.5,0.6849499318286528
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,moneyline,Brandon Royval win,red,,0.7123142218229211
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,moneyline,Lone'er Kavanagh win,blue,,0.28768577817707885
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,inside_distance,Fight ends inside distance,yes,,0.5635287306742114
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,inside_distance,Fight goes to decision,no,,0.4364712693257886
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,method,Win by KO/TKO,ko_tko,,0.30521345944253414
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,method,Win by Submission,submission,,0.2583152712316772
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,method,Win by Decision,decision,,0.4364712693257886
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,total_rounds,Under 1.5 rounds,under,1.5,0.3744776844539611
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,total_rounds,Over 1.5 rounds,over,1.5,0.6255223155460389
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.6069237436939313
9adb2a65530c,UFC 329: McGregor vs. Holloway 2,2026-07-11,Brandon Royval,Lone'er Kavanagh,simulation,,,total_rounds,Over 2.5 rounds,over,2.5,0.3930762563060687
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,moneyline,King Green win,red,,0.6570360967909228
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,moneyline,Terrance McKinney win,blue,,0.3429639032090772
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,inside_distance,Fight ends inside distance,yes,,0.5127294817311512
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,inside_distance,Fight goes to decision,no,,0.4872705182688488
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,method,Win by KO/TKO,ko_tko,,0.3452523193976569
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,method,Win by Submission,submission,,0.1674771623334943
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,method,Win by Decision,decision,,0.4872705182688488
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,total_rounds,Under 1.5 rounds,under,1.5,0.4308721381924757
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,total_rounds,Over 1.5 rounds,over,1.5,0.5691278618075243
e230d3e6938c,UFC 329: McGregor vs. Holloway 2,2026-07-11,King Green,Terrance McKinney,simulation,,,total_rounds,Under 2.5 rounds,under,2.5,0.44310277262358094
