DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,STDDEV,HIT_RATE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL,bet_date,player_name,team,opponent,stat,line,side,sportsbook,odds,hit_rate,edge,projection_mean,projection_median,floor,ceiling,projected_minutes,confidence,confidence_score,line_delta,actual_value,bet_result,bet_quality_score,line_open,line_move,line_pulled
2026-07-13,Naz Hillmon,ATL,ATL vs LAS,PRA,pra,UNDER PRA,18.5,9.836758268032767,-8.663241731967233,8.663241731967233,3.787179751652943,0.8117449022400001,MEDIUM,31.174490224000007,Medium,,,2026-07-13,Naz Hillmon,ATL,LAS,pra,18.5,under,prizepicks,,0.8117449022400001,0.31174490224000007,9.836758268032767,9.814480654694984,4.800626601878721,14.820122235610004,23.91520304809078,medium,2,-8.663241731967233,,,52.34881060340996,18.5,0.0,False
2026-07-13,Naz Hillmon,ATL,ATL vs LAS,PR,pr,UNDER PR,17.0,9.233094157798371,-7.766905842201627,7.766905842201627,3.472205031622701,0.8079386856000002,MEDIUM,30.793868560000014,Medium,,,2026-07-13,Naz Hillmon,ATL,LAS,pr,17.0,under,prizepicks,,0.8079386856000002,0.30793868560000015,9.233094157798371,9.257608183862338,4.609675291675745,13.765979537093491,23.91520304809078,medium,2,-7.766905842201627,,,50.97669763364436,17.0,0.0,False
2026-07-13,Allisha Gray,ATL,ATL vs LAS,PTS,points,UNDER PTS,21.5,15.978941165371452,-5.521058834628548,5.521058834628548,4.922870768854069,0.7349678404800002,MEDIUM,23.49678404800002,Medium,,,2026-07-13,Allisha Gray,ATL,LAS,points,21.5,under,prizepicks,,0.7349678404800002,0.2349678404800002,15.978941165371452,15.431373373952509,10.223860698612391,22.592358382005692,31.294226493584787,medium,2,-5.521058834628548,,,39.830865689436116,21.5,0.0,False
2026-07-13,Allisha Gray,ATL,ATL vs LAS,PA,pa,UNDER PA,24.0,19.65776027051551,-4.34223972948449,4.34223972948449,5.688043462241502,0.6896967500400002,MEDIUM,18.96967500400002,Medium,,,2026-07-13,Allisha Gray,ATL,LAS,pa,24.0,under,prizepicks,,0.6896967500400002,0.1896967500400002,19.65776027051551,19.06868584784748,12.879351228862202,27.17547019139814,31.294226493584787,medium,2,-4.34223972948449,,,32.993160279292056,24.0,0.0,False
2026-07-13,Nia Coffey,MIN,MIN vs PHX,PRA,pra,UNDER PRA,15.5,11.02851402385858,-4.471485976141421,4.471485976141421,6.147106718504867,0.68,MEDIUM,18.000000000000004,Medium,,,2026-07-13,Nia Coffey,MIN,PHX,pra,15.5,under,prizepicks,,0.68,0.18000000000000005,11.02851402385858,9.777486335864609,4.649798161605977,18.8386227192072,19.104191700329924,medium,2,-4.471485976141421,,,31.54461172715132,15.5,0.0,False
2026-07-13,Nia Coffey,MIN,MIN vs PHX,PR,pr,UNDER PR,13.5,9.498439836420513,-4.001560163579489,4.001560163579489,5.819832806891635,0.68,MEDIUM,18.000000000000004,Medium,,,2026-07-13,Nia Coffey,MIN,PHX,pr,13.5,under,prizepicks,,0.68,0.18000000000000005,9.498439836420513,8.100834003085282,3.756752782899435,16.855022546339292,19.104191700329924,medium,2,-4.001560163579489,,,31.074685914589388,13.5,0.0,False
2026-07-13,Rhyne Howard,ATL,ATL vs LAS,RA,ra,UNDER RA,8.0,6.449163897801035,-1.5508361021989652,1.5508361021989652,2.926380812367887,0.6631244001600001,MEDIUM,16.312440016000007,Medium,,,2026-07-13,Rhyne Howard,ATL,LAS,ra,8.0,under,prizepicks,,0.6631244001600001,0.16312440016000007,6.449163897801035,6.042440407140945,3.061596231828388,10.365401114584964,33.64692433628488,medium,2,-1.5508361021989652,,,26.95079385228752,8.0,0.0,False
2026-07-13,Rhyne Howard,ATL,ATL vs LAS,PTS,points,UNDER PTS,19.5,16.511431977459456,-2.9885680225405444,2.9885680225405444,7.022133449451744,0.64913941392,MEDIUM,14.913941391999996,Medium,,,2026-07-13,Rhyne Howard,ATL,LAS,points,19.5,under,prizepicks,,0.64913941392,0.14913941391999996,16.511431977459456,15.57769416321288,8.45043099524842,25.85978280889916,33.64692433628488,medium,2,-2.9885680225405444,,,26.640402492629086,19.5,0.0,False
2026-07-13,Kahleah Copper,PHX,PHX vs MIN,PRA,pra,OVER PRA,25.5,28.99674740705014,3.4967474070501403,3.4967474070501403,5.471405216787856,0.6439465254400001,MEDIUM,14.394652544000008,Medium,,,2026-07-13,Kahleah Copper,PHX,MIN,pra,25.5,over,prizepicks,,0.6439465254400001,0.14394652544000008,28.99674740705014,28.618055232553008,22.250697310261323,36.20766991011191,32.60656766683229,medium,2,3.4967474070501403,,,26.468260117055117,25.5,0.0,False
2026-07-13,DeWanna Bonner,PHX,PHX vs MIN,PTS,points,UNDER PTS,9.5,7.980029039684845,-1.5199709603151552,1.5199709603151552,2.570650412514651,0.6538263244800002,MEDIUM,15.382632448000022,Medium,,,2026-07-13,DeWanna Bonner,PHX,MIN,points,9.5,under,prizepicks,,0.6538263244800002,0.15382632448000022,7.980029039684845,7.693703247923874,4.966571404053266,11.409739356673114,26.815477593430533,medium,2,-1.5199709603151552,,,25.552725848118097,9.5,0.0,False
