TEAM_ABBREVIATION,PLAYER_ID,SECONDS_PLAYED,GAMES_IN_SAMPLE,AVG_MINUTES_TOTAL,Q1_MINUTES,Q2_MINUTES,Q3_MINUTES,Q4_MINUTES,Q1_SHARE,Q2_SHARE,Q3_SHARE,Q4_SHARE
ATL,1642933,2593.0,1,43.21666666666667,12.0,12.0,12.0,7.216666666666667,0.2776706517547242,0.2776706517547242,0.2776706517547242,0.16698804473582723
ATL,1642484,2088.0,1,34.8,12.0,3.9833333333333334,6.816666666666666,12.0,0.3448275862068966,0.11446360153256706,0.19588122605363986,0.3448275862068966
ATL,nan,2000.0,9,33.333333333333336,0.0,12.0,12.0,12.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
ATL,1629111,1775.6666666666667,3,29.594444444444445,8.36111111111111,6.95,6.227777777777778,8.055555555555555,0.28252299605781866,0.23484137413178152,0.210437394405857,0.2721982354045429
ATL,1629638,1687.6875,16,28.128125,11.876041666666667,10.57962962962963,9.174074074074074,9.13888888888889,0.2913033973898553,0.2595041463089192,0.22502775088646695,0.22416470541475866
ATL,1630552,1614.4666666666667,15,26.907777777777778,11.798888888888888,8.281481481481482,9.564814814814815,8.252083333333333,0.3113387679411078,0.21852449543783697,0.2523879738229937,0.21774876279806155
ATL,1628396,1459.0,2,24.316666666666666,3.566666666666667,12.0,12.0,10.533333333333333,0.09361329833770779,0.31496062992125984,0.31496062992125984,0.2764654418197725
ATL,1630700,1429.642857142857,14,23.827380952380953,11.86547619047619,8.014583333333333,8.238095238095237,7.613888888888889,0.332068221634243,0.22429680797603413,0.23055203107343847,0.21308293931628441
ATL,1630228,1385.75,8,23.095833333333335,4.702083333333333,6.316666666666666,6.133333333333334,5.94375,0.20359011365686452,0.2734981057189248,0.2655601659751038,0.257351614649107
ATL,203468,1358.3125,16,22.638541666666665,10.783333333333333,7.448148148148149,7.207407407407407,7.222916666666666,0.33015117045478704,0.22803846944344042,0.22066775809892342,0.22114260200284902
ATL,1630168,1271.357142857143,14,21.189285714285713,11.682051282051281,6.685416666666667,6.628571428571429,7.483333333333333,0.3596760130231994,0.20583576925055982,0.20408557417746823,0.2304026435487725
ATL,1631132,1163.6666666666667,3,19.394444444444446,4.208333333333333,4.975,5.891666666666667,9.344444444444443,0.1723353429643954,0.20373108861335457,0.24126948015015356,0.3826640882720964
ATL,1642258,1146.8181818181818,11,19.113636363636363,5.4783333333333335,7.010606060606061,3.8685185185185187,6.219047619047619,0.24265639009935863,0.3105266247171315,0.17135151908784105,0.27546546609566896
ATL,1629216,1141.4444444444443,9,19.024074074074072,5.477777777777778,3.85,5.698148148148149,7.340476190476191,0.24491099414512982,0.1721331835117393,0.2547637352888994,0.3281920870542315
ATL,1627741,1048.0,2,17.466666666666665,2.783333333333333,9.083333333333334,12.0,5.533333333333333,0.09467120181405896,0.30895691609977327,0.40816326530612246,0.18820861678004536
ATL,1631243,1009.3,10,16.821666666666665,5.422916666666667,5.9,5.340740740740741,5.066666666666666,0.2495552596537949,0.2715099866844208,0.24577363515312914,0.2331611185086551
ATL,1630557,720.4,5,12.006666666666666,4.95,7.108333333333333,4.441666666666666,4.4,0.2368421052631579,0.3401116427432217,0.21251993620414672,0.21052631578947373
ATL,1642854,643.75,4,10.729166666666666,8.35,8.95,9.55,5.355555555555555,0.25927203726065207,0.2779023632913576,0.29653268932206317,0.1662929101259272
ATL,1630811,471.0,4,7.85,8.133333333333333,3.55,0.0,4.929166666666666,0.4895911713067469,0.21369450714823174,0.0,0.2967143215450213
ATL,1631216,205.5,2,3.425,0.0,0.0,0.0,3.425,0.0,0.0,0.0,1.0
BKN,1630623,2158.3333333333335,9,35.97222222222222,9.398148148148149,9.742592592592592,9.818518518518518,7.889583333333333,0.25504595224484417,0.26439344921381774,0.2664539189757958,0.21410667956554244
BKN,1643052,1996.5555555555557,9,33.275925925925925,11.305555555555555,9.88809523809524,9.5875,10.716666666666667,0.2724373532744598,0.23827988658803056,0.23103624688619118,0.2582465132513184
BKN,1631169,1922.0,6,32.03333333333333,11.375,9.553333333333335,7.283333333333333,7.953333333333333,0.3145306235310383,0.2641596386930274,0.2013917692059542,0.2199179685699802
BKN,1641869,1890.2,10,31.503333333333334,8.198333333333332,9.226666666666667,8.422222222222222,7.220370370370371,0.24792652535491277,0.2790244448800157,0.25469716909808754,0.21835186066698403
BKN,nan,1800.0,4,30.0,0.0,12.0,12.0,12.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
BKN,1630286,1779.6666666666667,6,29.66111111111111,10.879166666666666,8.356666666666666,9.354166666666666,9.208333333333334,0.28782133251025177,0.22108558578420562,0.247475638255655,0.2436174434498876
BKN,1630592,1617.3333333333333,9,26.955555555555556,8.658333333333333,7.742857142857143,9.360000000000001,9.041666666666666,0.2487822565197165,0.22247762909449142,0.2689434364994664,0.2597966778863257
BKN,1630534,1540.2,5,25.67,7.845833333333333,7.320833333333334,6.1625,8.606666666666666,0.2620883556495838,0.24455084486262285,0.20585697185647078,0.28750382763132254
BKN,1642879,1472.0,11,24.533333333333335,10.051515151515153,7.212962962962963,7.159523809523809,7.377777777777778,0.31606769324776646,0.22681004115500206,0.2251296586751447,0.23199260692208684
BKN,1630604,1422.6666666666667,9,23.711111111111112,8.461904761904762,8.20625,7.175,7.577777777777778,0.2693078810190608,0.261171433713371,0.22835095651405168,0.24116972875351647
BKN,1642849,1421.25,8,23.6875,8.058333333333334,7.5055555555555555,7.436111111111112,5.054761904761905,0.287235848255962,0.26753232057483944,0.2650570030269598,0.1801748281422388
BKN,1642962,1219.6363636363637,11,20.327272727272728,9.120000000000001,5.041666666666667,7.783333333333333,7.904166666666667,0.3055361679555543,0.1689047712108099,0.26075546497668833,0.2648035958569474
BKN,1630533,1179.6,5,19.66,11.71,6.425,10.466666666666667,5.966666666666667,0.33874933706185817,0.18586374813171977,0.3027819295115954,0.17260498529482668
BKN,1629651,1021.7142857142857,7,17.02857142857143,10.202380952380953,8.033333333333333,7.894444444444445,0.0,0.39044466043008136,0.30743530555218074,0.3021200340177378,0.0
BKN,1629611,840.375,8,14.00625,10.114285714285716,7.127777777777778,5.691666666666666,8.483333333333333,0.3219360624471082,0.2268760025767011,0.18116482045193316,0.2700231145242576
BKN,1641730,784.0,6,13.066666666666666,11.258333333333333,6.544444444444445,6.866666666666666,0.0,0.4563675261794843,0.2652854408287355,0.2783470329917802,0.0
BKN,1629008,720.0,3,12.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
