PLAYER_NAME,TEAM,STAT,LINE,IS_REGULAR_HINT,IS_GOBLIN,IS_DEMON,START_TIME_ET,BOARD_TIME_ET,UPDATED_AT_ET
Cason Wallace,OKC,Rebounds,6.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T23:16:50.705000-04:00,2026-05-25T23:45:33.438000-04:00
Cason Wallace,OKC,Rebs+Asts,5.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:51:56.386000-04:00,2026-05-24T23:18:19.611000-04:00
Cason Wallace,OKC,Steals,3.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:51:56.743000-04:00,2026-05-25T23:50:02.809000-04:00
Cason Wallace,OKC,Turnovers,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T01:01:33.342000-04:00,2026-05-26T04:32:23.168000-04:00
Cason Wallace,OKC,Two Pointers Attempted,3.5,False,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T21:33:05.444000-04:00
Cason Wallace,OKC,Two Pointers Made,1.5,True,False,False,2026-05-26T20:40:00-04:00,2026-03-30T20:54:00-04:00,2026-05-25T20:57:14.340000-04:00
Chet Holmgren,OKC,3-PT Made,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:51:57.080000-04:00,2026-05-25T01:47:32.717000-04:00
Chet Holmgren,OKC,Assists,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:57:25.143000-04:00,2026-05-25T01:51:09.673000-04:00
Chet Holmgren,OKC,Assists - 1st 3 Minutes,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:35.417000-04:00,2026-05-25T22:00:55.575000-04:00
Chet Holmgren,OKC,Blks+Stls,3.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T06:29:24.776000-04:00,2026-05-26T03:32:54.526000-04:00
Chet Holmgren,OKC,Blocked Shots,1.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:51:57.773000-04:00,2026-05-24T23:03:46.789000-04:00
Chet Holmgren,OKC,Defensive Rebounds,5.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-20T16:29:00-04:00,2026-05-26T00:53:01.030000-04:00
Chet Holmgren,OKC,Double-Double,0.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:51:58.264000-04:00,2026-05-24T23:10:08.932000-04:00
Chet Holmgren,OKC,Dunks,1.5,True,False,False,2026-05-26T20:40:00-04:00,2026-04-26T20:40:00-04:00,2026-05-25T12:32:11.540000-04:00
Chet Holmgren,OKC,FG Attempted,9.5,False,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:54:00-04:00,2026-05-25T21:03:49.368000-04:00
Chet Holmgren,OKC,FG Made,4.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-04T20:54:00-04:00,2026-05-25T20:57:34.629000-04:00
Chet Holmgren,OKC,Fantasy Score,28.0,True,False,False,2026-05-26T20:40:00-04:00,2026-04-26T14:09:00-04:00,2026-05-26T00:51:16.606000-04:00
Chet Holmgren,OKC,Free Throws Attempted,4.0,True,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:42:00-04:00,2026-05-26T00:55:04.608000-04:00
Chet Holmgren,OKC,Free Throws Made,3.0,True,False,False,2026-05-26T20:40:00-04:00,2026-04-27T20:42:00-04:00,2026-05-26T00:55:04.690000-04:00
Chet Holmgren,OKC,Offensive Rebounds,1.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-04T16:29:00-04:00,2026-05-25T16:29:40.227000-04:00
Chet Holmgren,OKC,Personal Fouls,2.5,True,False,False,2026-05-26T20:40:00-04:00,2026-04-28T08:09:00-04:00,2026-05-25T18:30:11.798000-04:00
Chet Holmgren,OKC,Points,13.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:58:55.197000-04:00,2026-05-25T05:35:47.346000-04:00
Chet Holmgren,OKC,Points - 1st 3 Minutes,2.5,False,False,False,2026-05-26T20:40:00-04:00,2026-05-25T13:03:35.808000-04:00,2026-05-25T22:45:22.747000-04:00
Chet Holmgren,OKC,Pts+Asts,14.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:51:59.148000-04:00,2026-05-25T01:20:05.383000-04:00
Chet Holmgren,OKC,Pts+Rebs,20.5,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:51:59.497000-04:00,2026-05-25T14:16:30.194000-04:00
Chet Holmgren,OKC,Pts+Rebs+Asts,22.0,True,False,False,2026-05-26T20:40:00-04:00,2026-05-24T22:51:59.975000-04:00,2026-05-25T19:47:11.651000-04:00
