PLAYER,RAW_STAT,NORMALIZED_STAT
Mitchell Robinson,Rebs+Asts,REBS+ASTS
Mitchell Robinson,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Mitchell Robinson,Two Pointers Made,TWO POINTERS MADE
Nikola Jokić,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Nikola Jokić,Blks+Stls,BLKS+STLS
Nikola Jokić,Blocked Shots,BLOCKED SHOTS
Nikola Jokić,Defensive Rebounds,DEFENSIVE REBOUNDS
Nikola Jokić,FG Made,FG MADE
Nikola Jokić,Free Throws Attempted,FREE THROWS ATTEMPTED
Nikola Jokić,Offensive Rebounds,OFFENSIVE REBOUNDS
Nikola Jokić,Personal Fouls,PERSONAL FOULS
Nikola Jokić,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Nikola Jokić,Pts+Asts,PTS+ASTS
Nikola Jokić,Pts+Rebs,PTS+REBS
Nikola Jokić,Pts+Rebs+Asts,PTS+REBS+ASTS
Nikola Jokić,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Nikola Jokić,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Nikola Jokić,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Nikola Jokić,Rebs+Asts,REBS+ASTS
Nikola Jokić,Triple-Double,TRIPLEDOUBLE
Nikola Jokić,Turnovers,TURNOVERS
Nikola Jokić,Two Pointers Made,TWO POINTERS MADE
OG Anunoby,3-PT Attempted,3PT ATTEMPTED
OG Anunoby,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
OG Anunoby,Blks+Stls,BLKS+STLS
OG Anunoby,Blocked Shots,BLOCKED SHOTS
OG Anunoby,FG Attempted,FG ATTEMPTED
OG Anunoby,Free Throws Attempted,FREE THROWS ATTEMPTED
OG Anunoby,Free Throws Made,FREE THROWS MADE
OG Anunoby,Personal Fouls,PERSONAL FOULS
OG Anunoby,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
OG Anunoby,Pts+Asts,PTS+ASTS
OG Anunoby,Pts+Rebs,PTS+REBS
OG Anunoby,Pts+Rebs+Asts,PTS+REBS+ASTS
OG Anunoby,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
OG Anunoby,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
OG Anunoby,Rebs+Asts,REBS+ASTS
OG Anunoby,Turnovers,TURNOVERS
OG Anunoby,Two Pointers Attempted,TWO POINTERS ATTEMPTED
OG Anunoby,Two Pointers Made,TWO POINTERS MADE
Peyton Watson,Blocked Shots,BLOCKED SHOTS
Peyton Watson,Free Throws Made,FREE THROWS MADE
Peyton Watson,Personal Fouls,PERSONAL FOULS
Peyton Watson,Pts+Asts,PTS+ASTS
Peyton Watson,Pts+Rebs,PTS+REBS
Peyton Watson,Pts+Rebs+Asts,PTS+REBS+ASTS
Peyton Watson,Rebs+Asts,REBS+ASTS
Peyton Watson,Turnovers,TURNOVERS
Peyton Watson,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Reed Sheppard,3-PT Attempted,3PT ATTEMPTED
Reed Sheppard,Blks+Stls,BLKS+STLS
Reed Sheppard,Blocked Shots,BLOCKED SHOTS
Reed Sheppard,FG Attempted,FG ATTEMPTED
Reed Sheppard,Free Throws Attempted,FREE THROWS ATTEMPTED
Reed Sheppard,Personal Fouls,PERSONAL FOULS
Reed Sheppard,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Reed Sheppard,Pts+Asts,PTS+ASTS
Reed Sheppard,Pts+Rebs,PTS+REBS
Reed Sheppard,Pts+Rebs+Asts,PTS+REBS+ASTS
Reed Sheppard,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Reed Sheppard,Rebs+Asts,REBS+ASTS
Reed Sheppard,Turnovers,TURNOVERS
Reed Sheppard,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Reed Sheppard,Two Pointers Made,TWO POINTERS MADE
Saddiq Bey,Blks+Stls,BLKS+STLS
Saddiq Bey,Blocked Shots,BLOCKED SHOTS
Saddiq Bey,Free Throws Made,FREE THROWS MADE
Saddiq Bey,Personal Fouls,PERSONAL FOULS
Saddiq Bey,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Saddiq Bey,Pts+Asts,PTS+ASTS
Saddiq Bey,Pts+Rebs,PTS+REBS
Saddiq Bey,Pts+Rebs+Asts,PTS+REBS+ASTS
Saddiq Bey,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Saddiq Bey,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Saddiq Bey,Rebs+Asts,REBS+ASTS
Saddiq Bey,Turnovers,TURNOVERS
Saddiq Bey,Two Pointers Made,TWO POINTERS MADE
Shai Gilgeous-Alexander,3-PT Attempted,3PT ATTEMPTED
Shai Gilgeous-Alexander,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Shai Gilgeous-Alexander,Blks+Stls,BLKS+STLS
Shai Gilgeous-Alexander,Blocked Shots,BLOCKED SHOTS
Shai Gilgeous-Alexander,Double-Double,DOUBLEDOUBLE
Shai Gilgeous-Alexander,FG Attempted,FG ATTEMPTED
Shai Gilgeous-Alexander,FG Made,FG MADE
Shai Gilgeous-Alexander,Free Throws Attempted,FREE THROWS ATTEMPTED
Shai Gilgeous-Alexander,Personal Fouls,PERSONAL FOULS
Shai Gilgeous-Alexander,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Shai Gilgeous-Alexander,Pts+Asts,PTS+ASTS
Shai Gilgeous-Alexander,Pts+Rebs,PTS+REBS
Shai Gilgeous-Alexander,Pts+Rebs+Asts,PTS+REBS+ASTS
Shai Gilgeous-Alexander,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Shai Gilgeous-Alexander,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Shai Gilgeous-Alexander,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Shai Gilgeous-Alexander,Rebs+Asts,REBS+ASTS
Shai Gilgeous-Alexander,Turnovers,TURNOVERS
Shai Gilgeous-Alexander,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Tari Eason,3-PT Attempted,3PT ATTEMPTED
Tari Eason,Blocked Shots,BLOCKED SHOTS
Tari Eason,Double-Double,DOUBLEDOUBLE
Tari Eason,FG Attempted,FG ATTEMPTED
Tari Eason,FG Made,FG MADE
Tari Eason,Free Throws Attempted,FREE THROWS ATTEMPTED
Tari Eason,Free Throws Made,FREE THROWS MADE
Tari Eason,Pts+Asts,PTS+ASTS
Tari Eason,Pts+Rebs,PTS+REBS
Tari Eason,Pts+Rebs+Asts,PTS+REBS+ASTS
Tari Eason,Rebs+Asts,REBS+ASTS
Tari Eason,Turnovers,TURNOVERS
Tari Eason,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Tari Eason,Two Pointers Made,TWO POINTERS MADE
Tim Hardaway,3-PT Attempted,3PT ATTEMPTED
Tim Hardaway,Blks+Stls,BLKS+STLS
Tim Hardaway,Blocked Shots,BLOCKED SHOTS
Tim Hardaway,Free Throws Attempted,FREE THROWS ATTEMPTED
Tim Hardaway,Free Throws Made,FREE THROWS MADE
Tim Hardaway,Personal Fouls,PERSONAL FOULS
Tim Hardaway,Pts+Asts,PTS+ASTS
Tim Hardaway,Pts+Rebs,PTS+REBS
Tim Hardaway,Pts+Rebs+Asts,PTS+REBS+ASTS
Tim Hardaway,Rebs+Asts,REBS+ASTS
Tim Hardaway,Turnovers,TURNOVERS
Tim Hardaway,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Tim Hardaway,Two Pointers Made,TWO POINTERS MADE
Trey Murphy,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Trey Murphy,Pts+Asts,PTS+ASTS
Trey Murphy,Pts+Rebs,PTS+REBS
Trey Murphy,Pts+Rebs+Asts,PTS+REBS+ASTS
Trey Murphy,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Trey Murphy,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Trey Murphy,Rebs+Asts,REBS+ASTS
Zion Williamson,Blocked Shots,BLOCKED SHOTS
Zion Williamson,Double-Double,DOUBLEDOUBLE
Zion Williamson,Free Throws Attempted,FREE THROWS ATTEMPTED
Zion Williamson,Free Throws Made,FREE THROWS MADE
Zion Williamson,Personal Fouls,PERSONAL FOULS
Zion Williamson,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Zion Williamson,Pts+Asts,PTS+ASTS
Zion Williamson,Pts+Rebs,PTS+REBS
Zion Williamson,Pts+Rebs+Asts,PTS+REBS+ASTS
Zion Williamson,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Zion Williamson,Quarters with 5+ Points,QUARTERS WITH 5+ POINTS
Zion Williamson,Rebs+Asts,REBS+ASTS
Zion Williamson,Turnovers,TURNOVERS
Zion Williamson,Two Pointers Attempted,TWO POINTERS ATTEMPTED
