PLAYER,RAW_STAT,NORMALIZED_STAT
Cameron Johnson,Pts+Rebs,PTS+REBS
Cameron Johnson,Pts+Rebs+Asts,PTS+REBS+ASTS
Cameron Johnson,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Cameron Johnson,Rebs+Asts,REBS+ASTS
Cameron Johnson,Turnovers,TURNOVERS
Cameron Johnson,Two Pointers Attempted,TWO POINTERS ATTEMPTED
Cameron Johnson,Two Pointers Made,TWO POINTERS MADE
Cason Wallace,3-PT Attempted,3PT ATTEMPTED
Cason Wallace,Blocked Shots,BLOCKED SHOTS
Cason Wallace,FG Attempted,FG ATTEMPTED
Cason Wallace,FG Made,FG MADE
Cason Wallace,Free Throws Attempted,FREE THROWS ATTEMPTED
Cason Wallace,Free Throws Made,FREE THROWS MADE
Cason Wallace,Pts+Asts,PTS+ASTS
Cason Wallace,Pts+Rebs,PTS+REBS
Cason Wallace,Pts+Rebs+Asts,PTS+REBS+ASTS
Cason Wallace,Rebs+Asts,REBS+ASTS
Cason Wallace,Turnovers,TURNOVERS
Cason Wallace,Two Pointers Made,TWO POINTERS MADE
Chet Holmgren,3-PT Attempted,3PT ATTEMPTED
Chet Holmgren,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Chet Holmgren,Blks+Stls,BLKS+STLS
Chet Holmgren,Blocked Shots,BLOCKED SHOTS
Chet Holmgren,Defensive Rebounds,DEFENSIVE REBOUNDS
Chet Holmgren,Double-Double,DOUBLEDOUBLE
Chet Holmgren,FG Attempted,FG ATTEMPTED
Chet Holmgren,Free Throws Attempted,FREE THROWS ATTEMPTED
Chet Holmgren,Free Throws Made,FREE THROWS MADE
Chet Holmgren,Offensive Rebounds,OFFENSIVE REBOUNDS
Chet Holmgren,Personal Fouls,PERSONAL FOULS
Chet Holmgren,Points - 1st 3 Minutes,POINTS 1ST 3 MINUTES
Chet Holmgren,Pts+Asts,PTS+ASTS
Chet Holmgren,Pts+Rebs,PTS+REBS
Chet Holmgren,Pts+Rebs+Asts,PTS+REBS+ASTS
Chet Holmgren,Quarters with 3+ Points,QUARTERS WITH 3+ POINTS
Chet Holmgren,Rebounds - 1st 3 Minutes,REBOUNDS 1ST 3 MINUTES
Chet Holmgren,Rebs+Asts,REBS+ASTS
Chet Holmgren,Turnovers,TURNOVERS
Chet Holmgren,Two Pointers Made,TWO POINTERS MADE
Christian Braun,3-PT Attempted,3PT ATTEMPTED
Christian Braun,Assists - 1st 3 Minutes,ASSISTS 1ST 3 MINUTES
Christian Braun,Blks+Stls,BLKS+STLS
Christian Braun,Blocked Shots,BLOCKED SHOTS
Christian Braun,Dunks,DUNKS
Christian Braun,Free Throws Attempted,FREE THROWS ATTEMPTED
