PLAYER_NAME,STATUS,SOURCE_REPORT,SOURCE_URL,UPDATED_AT_ET
Caris LeVert,QUESTIONABLE,2:00 p.m ET report,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_02_00PM.pdf,2026-05-15 14:15:04
Duncan Robinson,QUESTIONABLE,2:00 p.m ET report,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_02_00PM.pdf,2026-05-15 14:15:04
Kevin Huerter,QUESTIONABLE,2:00 p.m ET report,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_02_00PM.pdf,2026-05-15 14:15:04
Terrence Shannon Jr.,QUESTIONABLE,2:00 p.m ET report,https://ak-static.cms.nba.com/referee/injury/Injury-Report_2026-05-15_02_00PM.pdf,2026-05-15 14:15:04
