DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL
2026-03-29,Christian Braun,DEN,,FANTASY,Fantasy Score,OVER FANTASY,21.5,26.43,4.93,4.93,MEDIUM,0.72,Medium,,
2026-03-29,Dejounte Murray,NOP,,FANTASY,Fantasy Score,OVER FANTASY,32.5,37.01,4.51,4.51,MEDIUM,0.72,Medium,,
2026-03-29,Josh Hart,NYK,,FANTASY,Fantasy Score,OVER FANTASY,29.5,33.86,4.36,4.36,HIGH,0.84,High,,
2026-03-29,Jamal Murray,DEN,,FANTASY,Fantasy Score,OVER FANTASY,39.5,43.78,4.28,4.28,HIGH,0.84,High,,
2026-03-29,Jalen Brunson,NYK,,FANTASY,Fantasy Score,OVER FANTASY,39.5,43.47,3.97,3.97,HIGH,0.84,High,,
2026-03-29,Nikola Jokić,DEN,,FANTASY,Fantasy Score,OVER FANTASY,61.5,64.93,3.43,3.43,HIGH,0.84,High,,
2026-03-29,Trey Murphy,NOP,,FANTASY,Fantasy Score,OVER FANTASY,36.5,39.81,3.31,3.31,HIGH,0.84,High,,
2026-03-29,Isaiah Hartenstein,OKC,,FANTASY,Fantasy Score,OVER FANTASY,26.0,29.28,3.28,3.28,LOW,0.56,Low,,
2026-03-29,Shai Gilgeous-Alexander,OKC,,FANTASY,Fantasy Score,OVER FANTASY,49.5,52.56,3.06,3.06,HIGH,0.84,High,,
2026-03-29,Reed Sheppard,HOU,,FANTASY,Fantasy Score,OVER FANTASY,29.5,32.35,2.85,2.85,HIGH,0.84,High,,
2026-03-29,Draymond Green,GSW,,FANTASY,Fantasy Score,OVER FANTASY,25.5,27.96,2.46,2.46,HIGH,0.84,High,,
2026-03-29,Ajay Mitchell,OKC,,FANTASY,Fantasy Score,OVER FANTASY,23.0,25.39,2.39,2.39,MEDIUM,0.72,Medium,,
2026-03-29,OG Anunoby,NYK,,FANTASY,Fantasy Score,OVER FANTASY,29.0,31.16,2.16,2.16,HIGH,0.84,High,,
2026-03-29,Jabari Smith,HOU,,FANTASY,Fantasy Score,OVER FANTASY,30.5,32.65,2.15,2.15,HIGH,0.84,High,,
2026-03-29,Herbert Jones,NOP,,FANTASY,Fantasy Score,OVER FANTASY,22.5,24.38,1.88,1.88,HIGH,0.84,High,,
2026-03-29,Chet Holmgren,OKC,,FANTASY,Fantasy Score,OVER FANTASY,32.5,34.28,1.78,1.78,MEDIUM,0.72,Medium,,
2026-03-29,Saddiq Bey,NOP,,FANTASY,Fantasy Score,OVER FANTASY,31.0,32.23,1.23,1.23,HIGH,0.84,High,,
2026-03-29,Brandin Podziemski,GSW,,FANTASY,Fantasy Score,OVER FANTASY,31.5,32.68,1.18,1.18,HIGH,0.84,High,,
2026-03-29,Amen Thompson,HOU,,FANTASY,Fantasy Score,OVER FANTASY,39.5,40.66,1.16,1.16,HIGH,0.84,High,,
2026-03-29,Derik Queen,NOP,,FANTASY,Fantasy Score,OVER FANTASY,20.5,21.41,0.91,0.91,LOW,0.56,Low,,
2026-03-29,De'Anthony Melton,GSW,,FANTASY,Fantasy Score,OVER FANTASY,28.0,28.87,0.87,0.87,MEDIUM,0.72,Medium,,
2026-03-29,Gui Santos,GSW,,FANTASY,Fantasy Score,OVER FANTASY,30.5,30.98,0.48,0.48,HIGH,0.84,High,,
2026-03-29,Kevin Durant,HOU,,FANTASY,Fantasy Score,OVER FANTASY,41.5,41.97,0.47,0.47,HIGH,0.84,High,,
2026-03-29,Mikal Bridges,NYK,,FANTASY,Fantasy Score,UNDER FANTASY,26.0,22.36,-3.64,3.64,HIGH,0.84,High,,
2026-03-29,Kristaps Porziņģis,GSW,,FANTASY,Fantasy Score,UNDER FANTASY,35.5,32.09,-3.41,3.41,MEDIUM,0.72,Medium,,
2026-03-29,Alperen Sengun,HOU,,FANTASY,Fantasy Score,UNDER FANTASY,43.0,40.66,-2.34,2.34,HIGH,0.84,High,,
2026-03-29,Jalen Williams,OKC,,FANTASY,Fantasy Score,UNDER FANTASY,33.0,30.84,-2.16,2.16,MEDIUM,0.72,Medium,,
2026-03-29,Zion Williamson,NOP,,FANTASY,Fantasy Score,UNDER FANTASY,34.5,32.78,-1.72,1.72,HIGH,0.84,High,,
2026-03-29,Tari Eason,HOU,,FANTASY,Fantasy Score,UNDER FANTASY,21.0,19.55,-1.45,1.45,LOW,0.56,Low,,
2026-03-29,Aaron Gordon,DEN,,FANTASY,Fantasy Score,UNDER FANTASY,27.0,26.73,-0.27,0.27,MEDIUM,0.72,Medium,,
