window_days,threshold,A_coverage,C_coverage
7,0.5,126,132
7,0.52,123,124
7,0.54,116,118
7,0.56,107,109
7,0.58,101,102
7,0.6,89,93
14,0.5,291,295
14,0.52,278,277
14,0.54,262,260
14,0.56,246,243
14,0.58,231,230
14,0.6,211,215
30,0.5,732,740
30,0.52,706,711
30,0.54,667,675
30,0.56,635,634
30,0.58,601,603
30,0.6,558,563
