variant,n_resolved,placed_winrate,brier,log_loss,coverage_at_56,qualified_winrate_at_56
baseline(production),919,0.5691,0.3562,1.269,941,0.5691
shadow(C_rolling_min),919,0.5691,0.3294,1.0264,841,0.5645
