DATE,PLAYER,TEAM,MATCHUP,STAT,RAW_STAT,BET,LINE,PROJECTION,EDGE,ABS_EDGE,STDDEV,HIT_RATE,MODEL_CONFIDENCE,BET_CONFIDENCE,CONFIDENCE_LABEL,RESULT,ACTUAL,bet_date,player_name,team,opponent,stat,line,side,sportsbook,odds,hit_rate,edge,projection_mean,projection_median,floor,ceiling,projected_minutes,confidence,confidence_score,line_delta,actual_value,bet_result,bet_quality_score,line_open,line_move,line_pulled
2026-07-07,Sabrina Ionescu,NYL,NYL vs DAL,PRA,pra,UNDER PRA,24.5,17.916652598705028,-6.583347401294972,6.583347401294972,6.666368292747128,0.7311325288000001,MEDIUM,23.11325288000001,Medium,,,2026-07-07,Sabrina Ionescu,NYL,DAL,pra,24.5,under,prizepicks,,0.7311325288000001,0.23113252880000013,17.916652598705028,16.983964353821467,10.265501355322264,26.76897523865707,27.419768373731497,medium,2,-6.583347401294972,,,40.29750655250693,23.5,1.0,False
2026-07-07,Alyssa Thomas,PHX,PHX vs CHI,REB,rebounds,UNDER REB,7.5,5.742012415331199,-1.7579875846688011,1.7579875846688011,1.8357292446612845,0.7368593328400002,MEDIUM,23.685933284000015,Medium,,,2026-07-07,Alyssa Thomas,PHX,CHI,rebounds,7.5,under,prizepicks,,0.7368593328400002,0.23685933284000016,5.742012415331199,5.540696710147094,3.569776759137768,8.161600803557892,31.50688603698592,medium,2,-1.7579875846688011,,,36.3106107707784,7.0,0.5,False
2026-07-07,Sabrina Ionescu,NYL,NYL vs DAL,PA,pa,UNDER PA,19.5,14.365267425576388,-5.134732574423612,5.134732574423612,5.994984747583997,0.6955246206400002,MEDIUM,19.55246206400002,Medium,,,2026-07-07,Sabrina Ionescu,NYL,DAL,pa,19.5,under,prizepicks,,0.6955246206400002,0.1955246206400002,14.365267425576388,13.470835333565605,7.567886218008905,22.1176751747442,27.419768373731497,medium,2,-5.134732574423612,,,34.397903205635586,19.5,0.0,False
2026-07-07,Skylar Diggins,CHI,CHI vs PHX,RA,ra,OVER RA,6.5,9.506074405749548,3.006074405749548,3.006074405749548,3.2929910647032474,0.6928411444000002,MEDIUM,19.28411444000002,Medium,,,2026-07-07,Skylar Diggins,CHI,PHX,ra,6.5,over,prizepicks,,0.6928411444000002,0.19284114440000022,9.506074405749548,9.264947962673308,5.495593983610011,13.860782442887537,26.879623738449407,medium,2,3.006074405749548,,,31.917606167903056,6.5,0.0,False
2026-07-07,Marine Johannes,NYL,NYL vs DAL,PTS,points,UNDER PTS,8.5,6.595721345815854,-1.9042786541841457,1.9042786541841457,2.4962262175354493,0.6851371288000001,MEDIUM,18.51371288000001,Medium,,,2026-07-07,Marine Johannes,NYL,DAL,points,8.5,under,prizepicks,,0.6851371288000001,0.1851371288000001,6.595721345815854,6.2503635289585695,3.705040408873208,9.88504442813826,22.839427422975533,medium,2,-1.9042786541841457,,,29.731602576873428,8.5,0.0,False
2026-07-07,Alyssa Thomas,PHX,PHX vs CHI,PRA,pra,UNDER PRA,31.0,26.38388694721758,-4.616113052782421,4.616113052782421,7.528319969669647,0.6492860536000001,MEDIUM,14.928605360000013,Medium,,,2026-07-07,Alyssa Thomas,PHX,CHI,pra,31.0,under,prizepicks,,0.6492860536000001,0.14928605360000013,26.38388694721758,25.51684760381382,17.54899629081491,36.24149928052592,31.50688603698592,medium,2,-4.616113052782421,,,28.222076333892012,31.0,0.0,False
2026-07-07,Jessica Shepard,DAL,DAL vs NYL,RA,ra,UNDER RA,15.5,13.384240548548789,-2.1157594514512112,2.1157594514512112,4.017747843494975,0.6663163576,MEDIUM,16.631635759999995,Medium,,,2026-07-07,Jessica Shepard,DAL,NYL,ra,15.5,under,prizepicks,,0.6663163576,0.16631635759999996,13.384240548548789,13.058325886210753,8.506477904650225,18.727036111040423,29.5677505926944,medium,2,-2.1157594514512112,,,27.792336669232036,15.5,0.0,False
2026-07-07,Skylar Diggins,CHI,CHI vs PHX,PTS,points,OVER PTS,11.0,14.763121984635111,3.763121984635113,3.763121984635113,5.731045302818969,0.65220995068,MEDIUM,15.220995067999999,Medium,,,2026-07-07,Skylar Diggins,CHI,PHX,points,11.0,over,prizepicks,,0.65220995068,0.15220995067999998,14.763121984635111,13.990457266716795,8.162085038162315,22.309902034261373,26.879623738449407,medium,2,3.763121984635113,,,27.595754531788593,11.0,0.0,False
2026-07-07,Jessica Shepard,DAL,DAL vs NYL,REB,rebounds,UNDER REB,11.0,9.458240548548789,-1.5417594514512114,1.5417594514512114,3.240995067349997,0.6599247854800001,MEDIUM,15.992478548000012,Medium,,,2026-07-07,Jessica Shepard,DAL,NYL,rebounds,11.0,under,prizepicks,,0.6599247854800001,0.1599247854800001,9.458240548548789,9.055061984569257,5.672717785473312,13.815381580299324,29.5677505926944,medium,2,-1.5417594514512114,,,26.419390154232055,11.0,0.0,False
2026-07-07,Azzi Fudd,DAL,DAL vs NYL,PTS,points,UNDER PTS,14.0,12.008478849916074,-1.9915211500839265,1.9915211500839265,8.04403599905396,0.6430973497600001,MEDIUM,14.30973497600001,Medium,,,2026-07-07,Azzi Fudd,DAL,NYL,points,14.0,under,prizepicks,,0.6430973497600001,0.1430973497600001,12.008478849916074,10.18125928886798,3.631310936642708,22.75550930342773,31.34407660463241,medium,2,-1.9915211500839265,,,24.819012168222912,14.0,0.0,False
