GAME_DATE,PLAYER_KEY,PLAYER_NAME,TEAM_ABBREVIATION,OPPONENT_ABBREVIATION,OPPONENT,MATCHUP,GAME_ID,SIM_RUNS,ACTIVE_PROB,INJURY_STATUS,CONFIDENCE_LABEL,MODEL_CONFIDENCE,MIN_PROJ,PRED_MIN,SIM_MIN_P10,SIM_MIN_P50,SIM_MIN_P90,SIM_MIN_STD,PTS_PROJ,PRED_PTS,SIM_PTS_P10,SIM_PTS_P50,SIM_PTS_P90,SIM_PTS_STD,REB_PROJ,PRED_REB,SIM_REB_P10,SIM_REB_P50,SIM_REB_P90,SIM_REB_STD,AST_PROJ,PRED_AST,SIM_AST_P10,SIM_AST_P50,SIM_AST_P90,SIM_AST_STD,FG3M_PROJ,PRED_FG3M,SIM_FG3M_P10,SIM_FG3M_P50,SIM_FG3M_P90,SIM_FG3M_STD,STL_PROJ,PRED_STL,SIM_STL_P10,SIM_STL_P50,SIM_STL_P90,SIM_STL_STD,BLK_PROJ,PRED_BLK,SIM_BLK_P10,SIM_BLK_P50,SIM_BLK_P90,SIM_BLK_STD,PRA_PROJ,SIM_PRA_P10,SIM_PRA_P50,SIM_PRA_P90,SIM_PRA_STD,PR_PROJ,SIM_PR_P10,SIM_PR_P50,SIM_PR_P90,SIM_PR_STD,PA_PROJ,SIM_PA_P10,SIM_PA_P50,SIM_PA_P90,SIM_PA_STD,RA_PROJ,SIM_RA_P10,SIM_RA_P50,SIM_RA_P90,SIM_RA_STD,SB_PROJ,SIM_SB_P10,SIM_SB_P50,SIM_SB_P90,SIM_SB_STD,player_name,player_key,team,opponent,matchup,game_date,game_id,projected_minutes,pts_proj,pts_median,reb_proj,reb_median,ast_proj,ast_median,fg3m_proj,fg3m_median,stl_proj,stl_median,blk_proj,blk_median,pts_floor,pts_ceiling,pts_std,reb_floor,reb_ceiling,reb_std,ast_floor,ast_ceiling,ast_std,fg3m_floor,fg3m_ceiling,fg3m_std,stl_floor,stl_ceiling,stl_std,blk_floor,blk_ceiling,blk_std,confidence
2026-08-08,carla leite,Carla Leite,POR,SEA,SEA,POR vs SEA,,10000,,UNKNOWN,Low,LOW,28.08,29.91,18.8,28.64,36.71,6.79,16.38,,8.78,15.56,25.0,6.48,2.93,,1.05,2.57,5.31,1.75,6.75,,3.0,6.0,11.0,3.16,0.89,,0.0,1.0,2.0,0.96,0.82,,0.0,0.0,2.0,1.06,0.28,,0.0,0.0,1.0,0.54,27.28,15.97,26.74,39.21,9.18,19.45,10.9,18.7,28.89,7.18,24.26,13.85,23.64,35.38,8.49,9.68,4.79,9.4,14.91,3.96,1.1,0.0,1.0,3.0,1.2,Carla Leite,carla leite,POR,SEA,POR vs SEA,2026-08-08,,29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-08-08,chelsea gray,Chelsea Gray,LVA,MIN,MIN,LVA @ MIN,,10000,,UNKNOWN,Medium,MEDIUM,30.15,30.38,25.44,30.14,35.01,3.69,12.26,,6.71,11.55,18.58,4.86,2.35,,0.82,2.06,4.28,1.42,6.09,,3.0,6.0,10.0,2.67,1.71,,0.0,1.0,4.0,1.43,1.17,,0.0,1.0,3.0,1.17,0.3,,0.0,0.0,1.0,0.55,21.69,14.11,21.05,29.95,6.37,15.34,9.12,14.65,22.4,5.42,19.19,12.05,18.58,27.11,6.05,8.45,4.63,8.21,12.55,3.11,1.47,0.0,1.0,3.0,1.31,Chelsea Gray,chelsea gray,LVA,MIN,LVA @ MIN,2026-08-08,,30.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,courtney vandersloot,Courtney Vandersloot,CHI,IND,IND,CHI vs IND,,10000,,UNKNOWN,Medium,MEDIUM,19.49,19.42,16.3,19.49,22.66,2.5,10.99,,7.81,10.74,14.58,2.67,3.22,,0.77,2.64,6.36,2.41,4.28,,2.0,4.0,7.0,2.18,0.9,,0.0,1.0,2.0,0.97,1.24,,0.0,1.0,3.0,1.13,0.39,,0.0,0.0,1.0,0.62,13.13,9.15,12.81,17.49,3.35,9.87,6.75,9.55,13.39,2.68,10.8,7.58,10.59,14.31,2.67,7.5,3.67,7.09,11.87,3.34,1.62,0.0,1.0,3.0,1.29,Courtney Vandersloot,courtney vandersloot,CHI,IND,CHI vs IND,2026-08-08,,19.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,courtney williams,Courtney Williams,MIN,LVA,LVA,MIN vs LVA,,10000,,UNKNOWN,Low,LOW,24.82,25.05,17.02,24.91,32.55,6.01,14.03,,6.8,12.96,22.54,6.53,5.06,,1.62,4.32,9.37,3.27,4.64,,2.0,4.0,8.0,2.5,1.22,,0.0,1.0,3.0,1.17,1.07,,0.0,1.0,3.0,1.08,0.25,,0.0,0.0,1.0,0.5,18.92,10.69,18.14,28.26,7.06,15.47,8.25,14.58,23.83,6.36,14.62,7.78,13.89,22.32,5.87,9.7,4.55,9.08,15.54,4.46,1.32,0.0,1.0,3.0,1.2,Courtney Williams,courtney williams,MIN,LVA,MIN vs LVA,2026-08-08,,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-08-08,dana evans,Dana Evans,LVA,MIN,MIN,LVA @ MIN,,10000,,UNKNOWN,Medium,MEDIUM,13.69,13.23,5.47,13.59,21.86,6.23,3.22,,0.35,2.1,7.36,3.52,1.73,,0.59,1.56,3.1,1.03,1.5,,0.0,1.0,3.0,1.42,0.74,,0.0,0.0,2.0,0.96,0.28,,0.0,0.0,1.0,0.55,0.18,,0.0,0.0,1.0,0.43,7.29,2.03,6.14,13.78,5.28,6.4,1.69,5.05,12.65,5.19,5.28,1.02,4.1,10.89,4.6,3.23,0.81,2.94,5.94,2.04,0.46,0.0,0.0,1.0,0.71,Dana Evans,dana evans,LVA,MIN,LVA @ MIN,2026-08-08,,13.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,dijonai carrington,DiJonai Carrington,CHI,IND,IND,CHI vs IND,,10000,,UNKNOWN,Low,LOW,18.35,17.77,6.51,18.07,30.63,8.91,10.89,,3.75,10.41,18.51,5.62,3.11,,1.09,3.02,5.24,1.55,1.32,,0.0,1.0,3.0,1.33,1.19,,0.0,1.0,3.0,1.25,0.52,,0.0,0.0,2.0,0.77,0.53,,0.0,0.0,2.0,0.77,11.58,4.03,11.15,19.65,5.89,9.96,3.46,9.59,16.86,5.05,10.01,3.42,9.55,17.11,5.19,4.42,1.35,4.19,7.76,2.47,1.05,0.0,1.0,3.0,1.15,DiJonai Carrington,dijonai carrington,CHI,IND,CHI vs IND,2026-08-08,,17.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-08-08,dominique malonga,Dominique Malonga,SEA,POR,POR,SEA @ POR,,10000,,UNKNOWN,Medium,MEDIUM,24.59,24.69,19.12,24.56,30.09,4.3,15.28,,7.14,13.96,25.28,7.35,9.86,,6.79,9.61,13.25,2.56,2.08,,0.0,2.0,4.0,1.5,0.39,,0.0,0.0,1.0,0.62,1.05,,0.0,1.0,2.0,1.04,1.39,,0.0,1.0,3.0,1.21,23.3,14.78,22.24,33.25,7.45,19.27,11.94,18.27,27.93,6.45,15.27,7.75,14.14,24.34,6.74,11.94,8.02,11.67,16.18,3.21,2.43,1.0,2.0,5.0,1.62,Dominique Malonga,dominique malonga,SEA,POR,SEA @ POR,2026-08-08,,24.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,dorka juhasz,Dorka Juhasz,MIN,LVA,LVA,MIN vs LVA,,10000,,UNKNOWN,Low,LOW,17.87,17.86,13.49,17.92,22.23,3.41,4.06,,0.1,2.06,10.62,5.5,2.64,,0.83,2.24,4.95,1.74,1.47,,0.0,1.0,4.0,1.56,0.89,,0.0,0.0,3.0,1.86,0.39,,0.0,0.0,1.0,0.63,0.61,,0.0,0.0,2.0,0.8,13.33,4.26,10.57,25.63,10.23,11.08,2.92,8.2,22.72,9.72,9.12,1.4,6.07,20.77,9.82,4.11,1.47,3.67,7.35,2.42,1.01,0.0,1.0,2.0,1.02,Dorka Juhasz,dorka juhasz,MIN,LVA,MIN vs LVA,2026-08-08,,17.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low
2026-08-08,eliska hamzova,Eliska Hamzova,MIN,LVA,LVA,MIN vs LVA,,10000,,UNKNOWN,Medium,MEDIUM,8.14,8.0,3.54,8.05,12.85,3.56,5.1,,1.73,4.53,9.18,3.09,2.05,,0.87,2.01,3.27,0.93,1.62,,0.0,1.0,4.0,1.46,0.39,,0.0,0.0,1.0,0.64,0.31,,0.0,0.0,1.0,0.57,0.45,,0.0,0.0,1.0,0.7,4.09,1.58,3.85,6.89,2.13,2.86,1.12,2.65,4.84,1.5,3.18,1.09,2.92,5.6,1.83,3.67,1.17,3.44,6.48,2.07,0.76,0.0,1.0,2.0,0.93,Eliska Hamzova,eliska hamzova,MIN,LVA,MIN vs LVA,2026-08-08,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
2026-08-08,eliska joklova,Eliska Joklova,MIN,LVA,LVA,MIN vs LVA,,10000,,UNKNOWN,Medium,MEDIUM,9.96,9.8,4.37,9.9,15.5,4.28,2.14,,0.06,0.98,5.58,3.1,1.36,,0.07,0.76,3.37,1.72,1.23,,0.0,1.0,3.0,1.59,0.1,,0.0,0.0,0.0,0.33,0.14,,0.0,0.0,1.0,0.38,0.23,,0.0,0.0,1.0,0.49,11.01,1.85,8.08,23.43,10.54,8.88,1.03,5.78,20.14,9.79,8.23,0.55,5.23,19.1,9.55,2.59,0.17,2.0,5.82,2.48,0.37,0.0,0.0,1.0,0.63,Eliska Joklova,eliska joklova,MIN,LVA,MIN vs LVA,2026-08-08,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium
