PLAYER,TEAM,MATCHUP,CONFIDENCE,MIN,PTS,REB,AST,STL,BLK,3PM,TOV,PRA,PR,PA,RA,SB,FANTASY
Jamal Cain,ORL,ORL vs. DET,Medium,21.0,9.2,3.9,1.4,0.4,0.4,1.0,0.6,14.5,13.1,10.6,5.4,0.8,18.2
Jaylen Clark,MIN,MIN vs. DEN,Medium,22.4,7.7,2.4,1.9,1.2,0.3,1.3,0.5,12.0,10.1,9.6,4.4,1.4,18.0
Joe Ingles,MIN,MIN vs. DEN,Medium,17.6,6.9,2.5,3.8,0.6,0.3,0.9,1.0,13.2,9.4,10.6,6.3,1.0,18.0
Haywood Highsmith,PHX,PHX vs. OKC,Medium,19.8,9.0,2.9,1.7,0.7,0.1,1.4,0.2,13.5,11.9,10.6,4.6,0.8,17.7
Royce O'Neale,PHX,PHX vs. OKC,High,20.0,7.6,3.7,1.4,0.7,0.5,1.7,0.8,12.7,11.3,9.0,5.1,1.1,17.7
Luguentz Dort,OKC,OKC @ PHX,High,18.3,7.4,2.2,1.2,1.3,0.2,1.4,0.5,10.8,9.6,8.6,3.4,1.5,16.6
Rasheer Fleming,PHX,PHX vs. OKC,Medium,19.1,7.2,3.3,1.1,0.8,0.5,1.1,1.1,11.6,10.5,8.3,4.4,1.4,16.4
Brooks Barnhizer,OKC,OKC @ PHX,Medium,18.7,6.2,3.7,1.2,0.9,0.4,0.7,0.4,11.0,9.8,7.3,4.8,1.3,16.3
Nikola Topić,OKC,OKC @ PHX,Medium,15.0,5.9,1.6,4.3,0.8,0.1,0.8,1.4,11.8,7.5,10.2,5.9,0.9,16.1
Miles McBride,NYK,NYK @ ATL,Medium,17.2,7.8,2.0,1.6,0.9,0.2,1.5,0.7,11.4,9.8,9.4,3.6,1.1,16.0
Zaccharie Risacher,ATL,ATL vs. NYK,Medium,18.0,6.0,4.2,1.2,0.7,0.4,0.6,0.6,11.3,10.1,7.2,5.4,1.2,15.9
Jeremy Sochan,NYK,NYK @ ATL,Medium,11.0,5.4,4.1,1.6,0.6,0.6,0.5,0.3,11.0,9.4,7.0,5.6,1.1,15.9
Asa Newell,ATL,ATL vs. NYK,Medium,15.8,6.9,3.7,1.2,0.4,0.4,0.8,0.4,11.7,10.6,8.0,4.8,0.8,15.6
Curtis Jones,DEN,DEN @ MIN,Medium,18.2,7.2,2.4,1.6,0.8,0.1,1.2,0.3,11.2,9.7,8.8,4.0,0.9,15.4
Aaron Wiggins,OKC,OKC @ PHX,Medium,17.3,7.0,2.0,1.8,0.9,0.3,1.0,0.8,10.8,9.0,8.8,3.8,1.1,15.2
Jalen Pickett,DEN,DEN @ MIN,Medium,18.3,7.4,2.2,2.2,0.4,0.2,1.3,0.6,11.8,9.7,9.6,4.4,0.6,15.1
Jared McCain,OKC,OKC @ PHX,Medium,17.9,8.8,2.1,1.5,0.4,0.1,1.2,1.0,12.4,10.8,10.3,3.6,0.5,14.7
